mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,Chase Burns,CIN,10500,21.3,21.3,17.1,P,6157574,P-prop
cash,P,MacKenzie Gore,TEX,8300,20.9,20.9,39.5,P,6157284,P-prop
cash,C,Brett Sullivan,COL,2500,7.3,8.5,8.9,C,823928,H-slot9
cash,1B,Shohei Ohtani,LAD,6700,12.9,15.3,7.8,1B/OF,823928,H-slot1
cash,2B,Anthony Seigler,BOS,2900,8.4,9.1,41.4,2B,824578,H-slot1
cash,3B,Eugenio Suárez,CIN,3800,9.2,10.8,8.9,3B,824496,H-slot4
cash,SS,Francisco Lindor,NYM,4300,9.4,10.5,6.5,SS,823605,H-slot4
cash,OF,Christian Yelich,MIL,4700,10.5,11.6,9.7,OF,823032,H-slot1
cash,OF,David Fry,CLE,2900,8.6,10.5,35.2,OF,823684,H-slot1
cash,OF,Luke Keaschall,MIN,3400,9.6,10.1,8.4,2B/OF,823684,H-slot7
gpp,P,MacKenzie Gore,TEX,8300,20.9,20.9,39.5,P,6157284,P-prop
gpp,P,Chase Burns,CIN,10500,21.3,21.3,17.1,P,6157574,P-prop
gpp,C,Brett Sullivan,COL,2500,7.3,8.5,8.9,C,823928,H-slot9
gpp,1B,Royce Lewis,MIN,3600,8.1,9.5,3.5,1B,823684,H-slot5
gpp,2B,Luke Keaschall,MIN,3400,9.6,10.1,8.4,2B/OF,823684,H-slot7
gpp,3B,Max Muncy,LAD,5200,9.0,11.2,3.1,3B,823928,H-slot5
gpp,SS,Mookie Betts,LAD,5000,8.7,10.7,4.3,SS,823928,H-slot4
gpp,OF,Teoscar Hernández,LAD,4400,8.4,9.8,2.1,OF,823928,H-slot6
gpp,OF,Kyle Tucker,LAD,4700,9.3,10.1,1.9,OF,823928,H-slot7
gpp,OF,Junior Perez,CWS,2400,6.8,9.9,7.0,OF,824578,H-slot7
