mode,slot,player,team,salary,proj,ceiling,own
cash,P,Shohei Ohtani,LAD,10700,24.0,24.0,20.8
cash,P,Dylan Cease,TOR,10200,24.6,24.6,32.2
cash,C,Drew Cavanaugh,SF,3100,8.6,8.6,15.0
cash,1B,Rafael Devers,SF,4300,11.2,13.0,11.2
cash,2B,Jose Altuve,HOU,3700,9.5,10.8,16.5
cash,3B,Joshua Kuroda-Grauer,ATH,2300,7.9,7.9,37.2
cash,SS,Willy Adames,SF,4100,10.5,12.2,11.6
cash,OF,Lawrence Butler,ATH,3300,9.3,10.2,27.1
cash,OF,Heliot Ramos,SF,4400,10.1,11.5,9.0
cash,OF,Victor Bericoto,SF,3300,8.8,12.8,9.5
gpp,P,Dylan Cease,TOR,10200,24.6,24.6,32.2
gpp,P,Reid Detmers,LAA,8300,20.9,20.9,26.3
gpp,C,Samuel Basallo,BAL,3600,7.7,9.6,4.0
gpp,1B,Rafael Devers,SF,4300,11.2,13.0,11.2
gpp,2B,Ketel Marte,AZ,4900,10.4,12.6,9.4
gpp,3B,Gabriel Arias,CLE,2400,6.0,7.6,3.0
gpp,SS,Willy Adames,SF,4100,10.5,12.2,11.6
gpp,OF,Heliot Ramos,SF,4400,10.1,11.5,9.0
gpp,OF,Jung Hoo Lee,SF,4500,8.9,9.6,3.3
gpp,OF,Victor Bericoto,SF,3300,8.8,12.8,9.5
