Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5181751697,dbash12,0,200.7,1B Christian Walker 2B Jose Altuve 3B Junior Caminero C Samuel Basallo OF Kyle Schwarber OF Yordan Alvarez OF LaMonte Wade Jr. P Jesus Luzardo P Sandy Alcantara SS Nick Allen,,Sonny Gray,P,41.41%,25.9
2,5181580735,hightopsfeet,0,190.1,1B Romy Gonzalez 2B Xavier Edwards 3B Austin Riley C Liam Hicks OF Christian Yelich OF Ceddanne Rafaela OF Mauricio Dubon P Sonny Gray P Sandy Alcantara SS Otto Lopez,,Chris Sale,P,26.26%,9.25
3,5181820765,Davidd0726,0,187.2,1B Romy Gonzalez 2B Brice Turang 3B Alec Bohm C Liam Hicks OF Kyle Stowers OF Heliot Ramos OF Mauricio Dubon P Sonny Gray P Sean Burke SS Elly De La Cruz,,Heliot Ramos,OF,24.80%,7
4,5181740773,capitanfuton,0,175.95,1B Kyle Stowers 2B Xavier Edwards 3B Caleb Durbin C Liam Hicks OF Jarren Duran OF Eli White OF Gabriel Rincones Jr. P Jesus Luzardo P Brandon Woodruff SS Otto Lopez,,Rafael Devers,1B,23.46%,5
5,5182096892,depriestjonathan,0,174.85,1B Matt Olson 2B Xavier Edwards 3B Austin Riley C Drake Baldwin OF Jordan Walker OF Mauricio Dubon OF Eli White P Sandy Alcantara P Kyle Leahy SS Otto Lopez,,Jesus Luzardo,P,22.67%,30.5
6,5182066348,jnwallen,0,172.4,1B Willson Contreras 2B Bryson Stott 3B Alec Bohm C J.T. Realmuto OF Wilyer Abreu OF Ceddanne Rafaela OF Gabriel Rincones Jr. P Jesus Luzardo P Sonny Gray SS Trea Turner,,Garrett Mitchell,OF,22.11%,8
7,5181815061,rschoon3,0,172.2,1B Bryce Eldridge 2B Tommy Edman 3B Isaac Paredes C Liam Hicks OF Kyle Stowers OF Cole Carrigg OF Griffin Conine P Sonny Gray P Sean Burke SS Otto Lopez,,Caleb Durbin,3B,19.98%,0
8,5181595116,Emac,0,169.15,1B Rafael Devers 2B Luis Arraez 3B Austin Riley C Joey Bart OF Michael Harris II OF Mauricio Dubon OF Eli White P Chris Sale P Sonny Gray SS Casey Schmitt,,Willy Adames,SS,19.75%,21
9,5181745181,iluverica,0,168.8,1B Willson Contreras 2B Romy Gonzalez 3B Javier Sanoja C Liam Hicks OF Kyle Stowers OF Ceddanne Rafaela OF Jarren Duran P Jesus Luzardo P Sean Burke SS Andruw Monasterio,,Kyle Stowers,OF,19.42%,23
10,5181927610,postalwolf,0,168.65,1B Willson Contreras 2B Jose Altuve 3B Caleb Durbin C Adrian Del Castillo OF Jung Hoo Lee OF Wilyer Abreu OF Sal Frelick P Yoshinobu Yamamoto P Sonny Gray SS Willy Adames,,Hunter Greene,P,15.49%,-1.1
11,5181627309,d1walker21,0,166.8,1B Liam Hicks 2B Anthony Seigler 3B Caleb Durbin C Joe Mack OF Kyle Schwarber OF Kyle Stowers OF Tommy Edman P Jesus Luzardo P Sean Burke SS Otto Lopez,,Sean Burke,P,15.38%,29.3
12,5181915893,cashmoneymob420,0,164.8,1B Rafael Devers 2B Anthony Seigler 3B Kyle Karros C Joe Mack OF Kyle Schwarber OF Kyle Stowers OF Cole Carrigg P Jesus Luzardo P Sean Burke SS Casey Schmitt,,Kyle Karros,3B,14.37%,3
13,5182043164,cutsofmeat257,0,164.4,1B Kyle Stowers 2B Travis Bazzana 3B Caleb Durbin C Ivan Herrera OF Yordan Alvarez OF Mauricio Dubon OF Garrett Mitchell P Jesus Luzardo P Sonny Gray SS Brayan Rocchio,,Parker Messick,P,13.02%,10.45
14,5181744297,meitbe2014,0,163.4,1B Jake Bauers 2B Brice Turang 3B Joshua Kuroda-Grauer C Liam Hicks OF Kyle Stowers OF Garrett Mitchell OF Josh Lowe P Jesus Luzardo P Sonny Gray SS Otto Lopez,,Brice Turang,2B,12.91%,15
15,5181751720,SLBMLightshow,0,163.2,1B Bryce Harper 2B Xavier Edwards 3B Alec Bohm C Joe Mack OF Kyle Stowers OF Griffin Conine OF Justin Crawford P Sonny Gray P Sean Burke SS Otto Lopez,,Yoshinobu Yamamoto,P,12.57%,36.75
16,5181744822,aylsg,0,162.2,1B Rafael Devers 2B Romy Gonzalez 3B Alec Bohm C Liam Hicks OF Casey Schmitt OF Kyle Stowers OF Heliot Ramos P Sonny Gray P Shota Imanaga SS Willy Adames,,Brandon Woodruff,P,11.67%,12.45
16,5181827925,briannedanielle,0,162.2,1B Rafael Devers 2B Romy Gonzalez 3B Alec Bohm C Liam Hicks OF Casey Schmitt OF Kyle Stowers OF Heliot Ramos P Sonny Gray P Shota Imanaga SS Willy Adames,,Liam Hicks,C,11.45%,13
18,5181999078,colbyhornet,0,161.2,1B Willson Contreras 2B Romy Gonzalez 3B Kyle Karros C Samuel Basallo OF Wilyer Abreu OF Ceddanne Rafaela OF Jarren Duran P Sonny Gray P Sean Burke SS Trea Turner,,Jonah Heim,C,11.45%,0
