mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,Reid Detmers,LAA,8400,18.6,18.6,43.8,P,6157926,P-prop
cash,P,Nathan Eovaldi,TEX,9600,21.0,21.0,65.0,P,6157287,P-prop
cash,C,Carson Kelly,CHC,3300,7.8,8.7,8.0,C,824816,H-slot4
cash,1B,Nick Kurtz,ATH,6100,10.5,12.7,3.2,1B,824251,H-slot2
cash,2B,Travis Bazzana,CLE,4200,9.3,10.5,5.7,2B,823683,H-slot1
cash,3B,J.P. Crawford,SEA,3000,7.4,8.9,10.3,3B,823846,H-slot1
cash,SS,Elly De La Cruz,CIN,5800,10.2,12.2,5.7,SS,824494,H-slot1
cash,OF,A.J. Ewing,NYM,3900,9.4,11.0,6.7,OF,823606,H-slot1
cash,OF,Esteury Ruiz,MIA,3200,9.8,11.2,7.3,OF,823846,H-slot7
cash,OF,Tyler O'Neill,BAL,2500,8.4,9.9,10.7,OF,824816,H-slot5
gpp,P,Reid Detmers,LAA,8400,18.6,18.6,43.8,P,6157926,P-prop
gpp,P,Bryce Miller,SEA,10400,19.4,19.4,22.6,P,6157674,P-prop
gpp,C,Carson Kelly,CHC,3300,7.8,8.7,8.0,C,824816,H-slot4
gpp,1B,Rafael Devers,SF,3800,8.5,10.5,3.8,1B,823201,H-slot4
gpp,2B,Romy Gonzalez,BOS,3400,8.6,10.0,6.3,1B/2B,824577,H-slot4
gpp,3B,Alex Bregman,CHC,3900,8.3,9.1,5.6,3B,824816,H-slot2
gpp,SS,Jim Jarvis,ATL,2200,6.7,8.2,7.4,SS,823359,H-slot9
gpp,OF,Pete Crow-Armstrong,CHC,6600,10.5,12.9,4.0,OF,824816,H-slot1
gpp,OF,Seiya Suzuki,CHC,4400,9.3,11.3,5.0,OF,824816,H-slot3
gpp,OF,Dominic Canzone,SEA,3500,8.5,11.1,8.1,OF,823846,H-slot3
