mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,Noah Cameron,KC,7400,14.7,14.7,29.2,P,6157388,P-prop
cash,P,Nick Lodolo,CIN,6600,14.4,14.4,56.3,P,6157577,P-prop
cash,C,Tyler Stephenson,CIN,3100,7.4,8.3,13.9,C,824492,H-slot6*PROJ
cash,1B,Vladimir Guerrero Jr.,TOR,4300,8.6,9.2,7.0,1B,823276,H-slot2*PROJ
cash,2B,Ernie Clement,TOR,2800,7.5,8.4,16.8,2B/SS,823276,H-slot1*PROJ
cash,3B,Sal Stewart,CIN,4600,9.7,11.7,8.8,1B/3B,824492,H-slot2*PROJ
cash,SS,Elly De La Cruz,CIN,5700,10.8,12.8,14.7,SS,824492,H-slot1*PROJ
cash,OF,JJ Bleday,CIN,3800,8.1,10.4,9.9,OF,824492,H-slot4*PROJ
cash,OF,Kyle Tucker,LAD,4800,9.0,9.7,7.6,OF,823926,H-slot6*PROJ
cash,OF,Shohei Ohtani,LAD,6700,12.6,14.9,9.4,1B/OF,823926,H-slot1*PROJ
gpp,P,Walker Buehler,SD,7200,12.0,12.0,8.5,P,6158913,P-prop
gpp,P,Kumar Rocker,TEX,6400,13.2,13.2,37.9,P,6157288,P-prop
gpp,C,Dalton Rushing,LAD,4100,6.6,8.3,4.5,C,823926,H-slot9*PROJ
gpp,1B,Shohei Ohtani,LAD,6700,12.6,14.9,9.4,1B/OF,823926,H-slot1*PROJ
gpp,2B,Miguel Rojas,LAD,2500,6.7,7.4,10.8,2B/SS,823926,H-slot8*PROJ
gpp,3B,José Fermín,STL,2400,5.4,6.3,5.8,2B/3B,823030,H-slot7*PROJ
gpp,SS,Dansby Swanson,CHC,4100,6.8,8.4,5.1,SS,824492,H-slot9*PROJ
gpp,OF,Teoscar Hernández,LAD,4400,8.0,9.2,6.5,OF,823926,H-slot7*PROJ
gpp,OF,Andy Pages,LAD,5400,8.9,10.7,9.5,OF,823926,H-slot2*PROJ
gpp,OF,Pete Crow-Armstrong,CHC,6600,10.0,12.4,7.9,OF,824492,H-slot1*PROJ
