mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,Hunter Brown,HOU,9000,20.7,20.7,28.8,P,6158145,P-prop
cash,P,Paul Skenes,PIT,9500,22.7,22.7,37.6,P,6157909,P-prop
cash,C,Carter Jensen,KC,4800,9.5,11.1,11.2,C,824086,H-slot1
cash,1B,Jonathan Aranda,TB,4100,8.3,9.8,6.1,1B,824739,H-slot2
cash,2B,Jose Altuve,HOU,3900,8.4,9.9,8.5,2B,824168,H-slot1
cash,3B,Nick Loftin,KC,3100,7.6,8.4,13.6,3B,824086,H-slot2
cash,SS,Tyler Tolbert,KC,3500,11.7,12.9,22.0,OF/SS,824086,H-slot8
cash,OF,Juan Soto,NYM,6200,9.9,12.7,4.3,OF,823439,H-slot2
cash,OF,Isaac Collins,KC,2700,8.2,8.8,13.9,OF,824086,H-slot5
cash,OF,Esteury Ruiz,MIA,3100,8.0,9.2,6.2,OF,823764,H-slot8
gpp,P,Brandon Young,BAL,7500,13.9,13.9,3.7,P,6158145,P-prop
gpp,P,Grant Holmes,ATL,6600,13.6,13.6,7.8,P,6157199,P-prop
gpp,C,Carson Kelly,CHC,3600,5.7,6.5,3.0,C,824653,H-slot8
gpp,1B,Michael Busch,CHC,4000,7.5,8.7,4.7,1B,824653,H-slot3
gpp,2B,Bryson Stott,PHI,4000,6.5,7.3,3.6,2B,823439,H-slot6
gpp,3B,Alec Bohm,PHI,2900,6.0,7.1,5.9,3B,823439,H-slot5
gpp,SS,Dansby Swanson,CHC,4200,5.9,7.4,3.0,SS,824653,H-slot9
gpp,OF,Pete Crow-Armstrong,CHC,6500,9.0,11.2,3.6,OF,824653,H-slot1
gpp,OF,Seiya Suzuki,CHC,4600,7.7,9.5,4.4,OF,824653,H-slot2
gpp,OF,Kyle Schwarber,PHI,6000,8.7,12.0,3.4,OF,823439,H-slot2
