mode,slot,player,team,salary,proj,ceiling,own
cash,P,Jesus Luzardo,PHI,9600,20.9,20.9,17.2
cash,P,Gavin Williams,CLE,9400,20.0,20.0,15.9
cash,C,Braxton Fulford,COL,3700,8.6,9.5,7.0
cash,1B,Alec Burleson,STL,4400,6.6,8.2,3.2
cash,2B,Michael Massey,KC,3500,6.6,8.1,12.2
cash,3B,Miguel Vargas,CWS,4900,6.9,9.1,3.5
cash,SS,Elly De La Cruz,CIN,5100,8.0,9.9,5.7
cash,OF,Dominic Canzone,SEA,3800,7.2,9.6,5.7
cash,OF,Taylor Trammell,HOU,2700,7.1,8.0,39.9
cash,OF,Kahlil Watson,CLE,2400,6.4,7.9,15.3
gpp,P,Jesus Luzardo,PHI,9600,20.9,20.9,17.2
gpp,P,Connor Prielipp,MIN,7100,17.2,17.2,19.1
gpp,C,Braxton Fulford,COL,3700,8.6,9.5,7.0
gpp,1B,Christian Walker,HOU,4000,5.6,7.8,4.0
gpp,2B,Jose Altuve,HOU,3800,6.1,7.4,7.0
gpp,3B,Isaac Paredes,HOU,3700,5.6,6.9,5.3
gpp,SS,Elly De La Cruz,CIN,5100,8.0,9.9,5.7
gpp,OF,Yordan Alvarez,HOU,6000,7.7,10.7,1.5
gpp,OF,Luke Raley,SEA,3900,6.9,9.6,4.5
gpp,OF,Griffin Conine,MIA,3100,6.7,8.6,12.5
