mode,slot,player,team,salary,proj,ceiling,own
cash,P,George Kirby,SEA,9000,22.1,22.1,30.3
cash,P,Ranger Suarez,BOS,8500,18.5,18.5,15.2
cash,C,Hunter Goodman,COL,6200,11.1,14.5,1.9
cash,1B,Pavin Smith,AZ,2500,8.8,9.4,33.3
cash,2B,Ketel Marte,AZ,4800,11.4,13.4,3.5
cash,3B,Matt Chapman,SF,3400,9.7,10.6,13.7
cash,SS,Geraldo Perdomo,AZ,3800,10.1,10.8,9.7
cash,OF,Jahmai Jones,DET,2100,8.9,9.7,31.6
cash,OF,Mickey Moniak,COL,5100,11.1,14.2,3.0
cash,OF,Jake McCarthy,COL,4600,10.8,11.9,3.9
gpp,P,Ranger Suarez,BOS,8500,18.5,18.5,15.2
gpp,P,George Kirby,SEA,9000,22.1,22.1,30.3
gpp,C,Eric Haase,SF,3000,7.8,10.1,9.5
gpp,1B,Kyle Stowers,MIA,5000,10.0,11.3,2.4
gpp,2B,Ketel Marte,AZ,4800,11.4,13.4,3.5
gpp,3B,Kazuma Okamoto,TOR,3400,6.9,9.4,2.4
gpp,SS,Otto Lopez,MIA,5300,9.9,10.7,3.2
gpp,OF,Heriberto Hernández,MIA,4500,10.1,12.0,3.4
gpp,OF,Esteury Ruiz,MIA,4000,9.5,11.4,4.1
gpp,OF,Victor Bericoto,SF,2400,7.6,11.3,15.3
