Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5187803312,Mrboozer,0,157.4,1B Josh Bell 2B Travis Bazzana 3B Blaze Alexander C Mitch Garver OF James Wood OF Trevor Larnach OF A.J. Ewing P Zack Wheeler P Shane Baz SS Brayan Rocchio,,Tarik Skubal,P,42.56%,13.65
2,5188235401,JMS8168,0,157.1,1B Romy Gonzalez 2B Travis Bazzana 3B Alex Bregman C Samuel Basallo OF Pete Crow-Armstrong OF Randy Arozarena OF Ceddanne Rafaela P Payton Tolle P Noah Schultz SS Brayan Rocchio,,Taj Bradley,P,38.86%,22.95
3,5187799814,ivymoose,0,156.75,1B Kyle Manzardo 2B Travis Bazzana 3B Alex Bregman C Carson Kelly OF Spencer Steer OF Chase DeLauter OF Steven Kwan P Zack Wheeler P Tarik Skubal SS Brayan Rocchio,,Zack Wheeler,P,31.88%,35.1
4,5187983293,ochauno,0,154.75,1B Kyle Manzardo 2B Travis Bazzana 3B Alex Bregman C Patrick Bailey OF Cody Bellinger OF Trent Grisham OF Chase DeLauter P Zack Wheeler P Tarik Skubal SS Brayan Rocchio,,Carson Kelly,C,24.22%,4
5,5188113724,dgeiser2,0,153.4,1B Joc Pederson 2B Richie Palacios 3B Alex Bregman C Yainer Diaz OF Randy Arozarena OF Jordan Walker OF Spencer Steer P Zack Wheeler P Shane Baz SS Ezequiel Duran,,Ian Seymour,P,24.14%,-2.5
6,5187728291,cowboys3322,0,150.05,1B Joc Pederson 2B Richie Palacios 3B Alec Bohm C J.T. Realmuto OF Randy Arozarena OF Cody Bellinger OF Sam Antonacci P Zack Wheeler P Taj Bradley SS Ezequiel Duran,,James Wood,OF,22.79%,18
7,5188091524,HockeyCardsPlus,0,149.75,1B Kyle Manzardo 2B Travis Bazzana 3B Isaac Paredes C Kyle Higashioka OF Yordan Alvarez OF Chase DeLauter OF Kahlil Watson P Zack Wheeler P Tarik Skubal SS Brayan Rocchio,,Seiya Suzuki,OF,21.45%,5
8,5188015381,KenTasch,0,147.6,1B Kyle Manzardo 2B Travis Bazzana 3B Alex Bregman C Carson Kelly OF Pete Crow-Armstrong OF Seiya Suzuki OF Kahlil Watson P Tarik Skubal P Taj Bradley SS Brayan Rocchio,,Wyatt Langford,OF,21.45%,5
9,5187898624,jacksnations,0,146.05,1B Jake Burger 2B Travis Bazzana 3B Josh Jung C Ivan Herrera OF Sam Antonacci OF Wyatt Langford OF Chase DeLauter P Zack Wheeler P Taj Bradley SS Brayan Rocchio,,Alex Bregman,3B,14.13%,30
10,5188201257,BushWood_2229,0,145.95,1B Jonathan Aranda 2B Romy Gonzalez 3B Blaze Alexander C Jonah Heim OF Seiya Suzuki OF Trevor Larnach OF JJ Bleday P Zack Wheeler P Payton Tolle SS Brayan Rocchio,,Jordan Walker,OF,13.12%,14
11,5187859665,sdot76,0,145.75,1B Michael Busch 2B Nico Hoerner 3B Alex Bregman C Carson Kelly OF Seiya Suzuki OF Brandon Nimmo OF Dylan Beavers P Zack Wheeler P Tarik Skubal SS Brayan Rocchio,,Anthony Seigler,2B,12.70%,2
