mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,Chris Sale,ATL,11000,21.4,21.4,15.6,P,6157258,P-prop
cash,P,Dustin May,MIL,7200,16.4,16.4,27.4,P,6158881,P-prop
cash,C,Ben Rice,NYY,5500,10.2,12.9,19.4,1B/C,823499,H-slot1
cash,1B,Kyle Schwarber,PHI,5800,10.2,13.2,12.4,1B/OF,823413,H-slot1
cash,2B,Sam Antonacci,CWS,4200,7.6,8.3,11.6,2B/OF,824550,H-slot1
cash,3B,Ryan McMahon,NYY,2500,6.8,8.0,36.5,3B,823499,H-slot7
cash,SS,Trea Turner,PHI,4000,8.8,10.0,17.6,SS,823413,H-slot2
cash,OF,Spencer Jones,NYY,3400,9.3,10.9,34.8,OF,823499,H-slot5
cash,OF,Brewer Hicklen,ATL,2900,7.0,7.0,10.6,OF,824872,H-slot8
cash,OF,Jasson Domínguez,NYY,3300,8.9,10.1,41.9,OF,823499,H-slot3
gpp,P,Anthony Kay,CWS,6500,12.0,12.0,6.3,P,6158863,P-prop
gpp,P,Andrew Abbott,CIN,6800,11.4,11.4,3.2,P,6158881,P-prop
gpp,C,Cal Raleigh,SEA,5400,6.7,8.6,4.4,C,823088,H-slot4
gpp,1B,Josh Naylor,SEA,4000,5.9,6.6,3.7,1B,823088,H-slot6
gpp,2B,Cole Young,SEA,3500,4.6,5.6,4.4,2B,823088,H-slot7
gpp,3B,Isaac Paredes,HOU,3700,6.6,8.0,13.8,3B,823413,H-slot3
gpp,SS,Jeremy Peña,HOU,4700,7.6,9.5,9.2,SS,823413,H-slot1
gpp,OF,Julio Rodríguez,SEA,5000,6.1,7.5,4.2,OF,823088,H-slot5
gpp,OF,Lazaro Montes,SEA,3900,5.4,8.0,3.6,OF,823088,H-slot8
gpp,OF,Yordan Alvarez,HOU,6200,8.4,11.1,7.7,OF,823413,H-slot2
