mode,slot,player,team,opp_team,salary,proj,own
cash,QB,Caleb Williams,CHI,MIN,6800,20.3,3.6
cash,RB,Ashton Jeanty,LV,LAC,6800,16.8,14.2
cash,RB,Bijan Robinson,ATL,CAR,8200,23.3,27.3
cash,WR,CeeDee Lamb,DAL,WAS,7300,16.9,12.6
cash,WR,Garrett Wilson,NYJ,GB,6000,15.5,26.6
cash,WR,Devaughn Vele,NO,BAL,4200,9.5,10.9
cash,TE,Michael Mayer,LV,LAC,3600,11.4,19.9
cash,FLEX,Dalton Schultz,HOU,CIN,3200,11.1,19.9
cash,DST,49ers,SF,MIA,3800,8.1,1.9
gpp,QB,Dak Prescott,DAL,WAS,6400,19.9,6.1
gpp,RB,Bijan Robinson,ATL,CAR,8200,23.3,27.3
gpp,RB,De'Von Achane,MIA,SF,6700,16.5,14.0
gpp,WR,CeeDee Lamb,DAL,WAS,7300,16.9,12.6
gpp,WR,George Pickens,DAL,WAS,6300,13.5,7.8
gpp,WR,Terry McLaurin,WAS,DAL,5200,11.9,11.7
gpp,TE,Michael Mayer,LV,LAC,3600,11.4,19.9
gpp,FLEX,Dalton Schultz,HOU,CIN,3200,11.1,19.9
gpp,DST,Patriots,NE,PIT,3100,7.0,3.9
