season,week,game_id,team,opp,is_home,off_plays,off_epa,off_pass_plays,off_pass_epa,off_rush_plays,off_rush_epa,off_success,off_plays_gt,off_epa_gt
2013,2,2013_02_MIN_CHI,CHI,MIN,1,64,-3.6447,38,-2.3819,26,-1.2628,36,64,-3.6447
2013,2,2013_02_MIN_CHI,MIN,CHI,0,64,-3.7304,31,0.2928,33,-4.0232,26,64,-3.7304
2013,2,2013_02_NO_TB,NO,TB,0,69,-6.7975,49,-1.2115,20,-5.5861,32,69,-6.7975
2013,2,2013_02_NO_TB,TB,NO,1,56,-7.4374,23,-10.0311,33,2.5937,24,56,-7.4374
2013,2,2013_02_NYJ_NE,NE,NYJ,1,63,-15.1972,40,-7.2629,23,-7.9343,20,63,-15.1972
2013,2,2013_02_NYJ_NE,NYJ,NE,0,71,-16.0691,39,-16.8775,32,0.8085,24,71,-16.0691
2013,2,2013_02_PIT_CIN,CIN,PIT,1,79,4.8851,45,3.9279,34,0.9573,36,71,5.1082
2013,2,2013_02_PIT_CIN,PIT,CIN,0,54,-12.6396,38,-6.8322,16,-5.8075,16,48,-12.1628
2013,2,2013_02_SD_PHI,LAC,PHI,0,78,21.7655,48,23.7629,30,-1.9974,44,78,21.7655
2013,2,2013_02_SD_PHI,PHI,LAC,1,58,20.5855,39,15.5298,19,5.0557,30,58,20.5855
2013,2,2013_02_SF_SEA,SEA,SF,1,68,-2.1569,23,1.0446,45,-3.2015,22,56,-0.0225
2013,2,2013_02_SF_SEA,SF,SEA,0,51,-25.3622,31,-24.8983,20,-0.4639,16,36,-13.0597
2013,2,2013_02_STL_ATL,ATL,LA,1,61,7.9374,45,13.353,16,-5.4156,27,37,14.668
2013,2,2013_02_STL_ATL,LA,ATL,0,72,3.8604,55,3.896,17,-0.0356,35,43,-4.8971
2013,2,2013_02_TEN_HOU,HOU,TEN,1,79,-1.2501,50,-6.6412,29,5.3911,32,77,0.2999
2013,2,2013_02_TEN_HOU,TEN,HOU,0,67,-4.5136,34,0.9121,33,-5.4257,25,66,-3.9076
2013,2,2013_02_WAS_GB,GB,WAS,1,67,25.6197,46,20.1457,21,5.474,39,34,17.1003
2013,2,2013_02_WAS_GB,WAS,GB,0,58,13.2228,42,10.7568,16,2.466,29,15,-3.2139
2013,3,2013_03_ARI_NO,ARI,NO,0,55,-13.2309,39,-16.9564,16,3.7255,23,46,-8.3167
2013,3,2013_03_ARI_NO,NO,ARI,1,71,13.0366,50,10.977,21,2.0596,35,54,5.2615
2013,3,2013_03_ATL_MIA,ATL,MIA,0,68,12.5413,38,10.4021,30,2.1391,36,68,12.5413
2013,3,2013_03_ATL_MIA,MIA,ATL,1,54,-0.0923,40,-1.8761,14,1.7838,23,54,-0.0923
2013,3,2013_03_BUF_NYJ,BUF,NYJ,0,75,-14.2844,50,-11.1775,25,-3.1069,23,73,-14.3785
2013,3,2013_03_BUF_NYJ,NYJ,BUF,1,70,1.7041,29,9.4045,41,-7.7004,27,67,3.2699
2013,3,2013_03_CHI_PIT,CHI,PIT,0,57,6.3096,32,3.6904,25,2.6192,20,54,7.698
2013,3,2013_03_CHI_PIT,PIT,CHI,1,65,-20.2338,44,-12.2312,21,-8.0026,30,56,-16.8188
2013,3,2013_03_CLE_MIN,CLE,MIN,0,75,-3.3926,58,-5.5694,17,2.1768,28,75,-3.3926
