mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,Kevin Gausman,TOR,9900,17.5,17.5,51.4,P,6158914,P-prop
cash,P,Trevor McDonald,SF,7300,13.5,13.5,41.2,P,6159108,P-prop
cash,C,Jesus Rodriguez,SF,2700,6.5,8.1,15.5,C/OF,823199,H-slot8*PROJ
cash,1B,Vladimir Guerrero Jr.,TOR,4400,9.3,10.0,11.6,1B,823274,H-slot3*PROJ
cash,2B,Ernie Clement,TOR,3000,8.2,9.1,47.5,2B/SS,823274,H-slot1*PROJ
cash,3B,Kazuma Okamoto,TOR,3800,8.5,10.9,18.4,3B,823274,H-slot5*PROJ
cash,SS,Geraldo Perdomo,ARI,3800,8.2,8.9,20.3,SS,823925,H-slot2*PROJ
cash,OF,George Springer,TOR,3500,8.9,10.2,30.0,OF,823274,H-slot4*PROJ
cash,OF,Corbin Carroll,ARI,4900,9.1,10.6,12.8,OF,823925,H-slot3*PROJ
cash,OF,Shohei Ohtani,LAD,6700,11.7,14.0,11.3,1B/OF,823925,H-slot1*PROJ
gpp,P,Trevor McDonald,SF,7300,13.5,13.5,41.2,P,6159108,P-prop
gpp,P,German Marquez,SD,6800,9.2,9.2,4.6,P,6158914,P-prop
gpp,C,James McCann,ARI,2300,5.8,6.9,16.3,C,823925,H-slot8*PROJ
gpp,1B,Freddie Freeman,LAD,6000,8.6,10.2,6.9,1B,823925,H-slot3*PROJ
gpp,2B,Jake Cronenworth,SD,2500,5.4,6.1,7.9,1B/2B,823274,H-slot7*PROJ
gpp,3B,Max Muncy,LAD,5600,8.3,10.3,10.5,3B,823925,H-slot5*PROJ
gpp,SS,Mookie Betts,LAD,5400,8.2,10.0,12.0,SS,823925,H-slot4*PROJ
gpp,OF,Andy Pages,LAD,5500,8.3,10.1,12.7,OF,823925,H-slot2*PROJ
gpp,OF,Kyle Tucker,LAD,4800,8.3,9.0,10.3,OF,823925,H-slot6*PROJ
gpp,OF,Jung Hoo Lee,SF,3700,6.5,7.0,7.9,OF,823199,H-slot7*PROJ
