Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5191066697,aidanscott415,0,244.05,1B Andres Chaparro 2B JJ Wetherholt 3B Curtis Mead C Harry Ford OF Corbin Carroll OF Tyler Soderstrom OF James Wood P Reid Detmers P Troy Melton SS Nasim Nunez,,Bryce Miller,P,66.13%,15.35
2,5192163454,franksta,0,208.05,1B Andres Chaparro 2B Nasim Nunez 3B Curtis Mead C Cal Raleigh OF Tyler Soderstrom OF James Wood OF Dylan Crews P Reid Detmers P Troy Melton SS Geraldo Perdomo,,Troy Melton,P,62.90%,23.95
3,5191704614,Mr.TD_AllDay,0,207.3,1B Andres Chaparro 2B Nasim Nunez 3B Curtis Mead C Harry Ford OF Lawrence Butler OF Tyler Soderstrom OF James Wood P Bryce Miller P Troy Melton SS Jacob Wilson,,James Wood,OF,61.29%,13
4,5191355692,CashLineCriminal,0,203.45,1B Andres Chaparro 2B Ketel Marte 3B Curtis Mead C Harry Ford OF Corbin Carroll OF James Wood OF Dylan Crews P Reid Detmers P Bryce Miller SS J.P. Crawford,,Curtis Mead,3B,54.84%,32
4,5191725588,griffalicious24,0,203.45,1B Andres Chaparro 2B Ketel Marte 3B Curtis Mead C Harry Ford OF Corbin Carroll OF James Wood OF Dylan Crews P Reid Detmers P Bryce Miller SS J.P. Crawford,,Reid Detmers,P,50.00%,25.1
6,5191737509,msbumsls,0,197.3,1B Andres Chaparro 2B Joshua Kuroda-Grauer 3B Curtis Mead C Harry Ford OF Carlos Cortes OF Tyler Soderstrom OF James Wood P Bryce Miller P Troy Melton SS Jacob Wilson,,Tyler Soderstrom,OF,38.71%,16
7,5192026064,JLWins,0,191.3,1B Andres Chaparro 2B JJ Wetherholt 3B Curtis Mead C Ivan Herrera OF Matt Vierling OF Corbin Carroll OF Tyler Soderstrom P Bryce Miller P Troy Melton SS J.P. Crawford,,Alec Burleson,1B,38.71%,9
8,5192114452,jru17,0,190.3,1B Andres Chaparro 2B Nasim Nunez 3B J.P. Crawford C Harry Ford OF Corbin Carroll OF Tyler Soderstrom OF James Wood P Bryce Miller P Troy Melton SS Jacob Wilson,,Harry Ford,C,35.48%,27
9,5191505033,Double_L,0,190.05,1B Alec Burleson 2B Nasim Nunez 3B Curtis Mead C Harry Ford OF Tyler Soderstrom OF James Wood OF Dylan Crews P Reid Detmers P Troy Melton SS Geraldo Perdomo,,Dylan Crews,OF,35.48%,18
9,5191653289,breymaier,0,190.05,1B Alec Burleson 2B Nasim Nunez 3B Curtis Mead C Harry Ford OF Tyler Soderstrom OF James Wood OF Dylan Crews P Reid Detmers P Troy Melton SS Geraldo Perdomo,,Geraldo Perdomo,SS,27.42%,6
9,5192197172,MsFantasy,0,190.05,1B Alec Burleson 2B Nasim Nunez 3B Curtis Mead C Harry Ford OF Tyler Soderstrom OF James Wood OF Dylan Crews P Reid Detmers P Troy Melton SS Geraldo Perdomo,,Andres Chaparro,1B,25.81%,52
12,5191719406,kab2105,0,188.05,1B Alec Burleson 2B Ketel Marte 3B Curtis Mead C Harry Ford OF Corbin Carroll OF Tim Tawa OF James Wood P Reid Detmers P Troy Melton SS Nasim Nunez,,Corbin Carroll,OF,25.81%,16
13,5192210865,samirnj,0,187.45,1B Andres Chaparro 2B Ketel Marte 3B Joshua Kuroda-Grauer C Harry Ford OF Corbin Carroll OF James Wood OF Dylan Crews P Reid Detmers P Bryce Miller SS Zach Neto,,JJ Wetherholt,2B,25.81%,19
14,5191777448,Bulldawg633,0,183.45,1B Alec Burleson 2B JJ Wetherholt 3B Curtis Mead C Harry Ford OF Corbin Carroll OF Tyler Soderstrom OF Dylan Crews P Reid Detmers P Bryce Miller SS Geraldo Perdomo,,Ketel Marte,2B,22.58%,3
15,5192198687,jomarjr3,0,181.05,1B Andres Chaparro 2B Donovan Walton 3B Jose Fermin C Shea Langeliers OF Tyler Soderstrom OF James Wood OF Jacob Young P Reid Detmers P Troy Melton SS CJ Abrams,,Jacob Wilson,SS,20.97%,5
15,5192204022,lpapesh,0,181.05,1B Andres Chaparro 2B Joshua Kuroda-Grauer 3B Curtis Mead C Shea Langeliers OF Carlos Cortes OF Lawrence Butler OF James Wood P Reid Detmers P Troy Melton SS Jacob Wilson,,Jordan Walker,OF,20.97%,5
17,5192089505,rickyvegas2005,0,176.3,1B Andres Chaparro 2B Nasim Nunez 3B Jose Fermin C Ivan Herrera OF Tyler Soderstrom OF James Wood OF Dylan Crews P Bryce Miller P Troy Melton SS Geraldo Perdomo,,J.P. Crawford,SS,19.35%,2
18,5191722898,npt78,0,175.45,1B Alec Burleson 2B JJ Wetherholt 3B Curtis Mead C Harry Ford OF Matt Vierling OF James Wood OF Dylan Crews P Reid Detmers P Bryce Miller SS Geraldo Perdomo,,Carlos Cortes,OF,19.35%,3
