Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5186797920,jakeneverloses,0,126.35,1B Rafael Devers 2B Ketel Marte 3B Kazuma Okamoto C Gabriel Moreno OF Andy Pages OF Corbin Carroll OF Jackson Merrill P Robbie Ray P Shane Bieber SS Mookie Betts,,Robbie Ray,P,91.30%,11.25
2,5186833305,mudskuffs,0,122.95,1B Rafael Devers 2B Luis Arraez 3B Casey Schmitt C Gabriel Moreno OF George Springer OF Fernando Tatis Jr. OF Andy Pages P Eduardo Rodriguez P Robbie Ray SS Mookie Betts,,Fernando Tatis Jr.,OF,69.57%,3
3,5186842083,yips420,0,116.8,1B Rafael Devers 2B Luis Arraez 3B Manny Machado C Gabriel Moreno OF Tommy Edman OF Fernando Tatis Jr. OF Andy Pages P Robbie Ray P JP Sears SS Casey Schmitt,,Andy Pages,OF,52.17%,20
4,5186831725,shoepremekai,0,115.35,1B Rafael Devers 2B Ketel Marte 3B Kazuma Okamoto C Alejandro Kirk OF Fernando Tatis Jr. OF Andy Pages OF Corbin Carroll P Robbie Ray P Shane Bieber SS Mookie Betts,,Mookie Betts,SS,52.17%,3
5,5186802328,Jbird531,0,112.95,1B Rafael Devers 2B Ketel Marte 3B Casey Schmitt C Gabriel Moreno OF Fernando Tatis Jr. OF Corbin Carroll OF Jackson Merrill P Eduardo Rodriguez P Robbie Ray SS Geraldo Perdomo,,Ketel Marte,2B,47.83%,5
6,5186840246,jomarjr3,0,112.35,1B Rafael Devers 2B Luis Arraez 3B Casey Schmitt C Hunter Goodman OF Heliot Ramos OF Andy Pages OF Corbin Carroll P Robbie Ray P Shane Bieber SS Willy Adames,,Shane Bieber,P,47.83%,9.1
7,5186825997,kateandsadie,0,110.95,1B Vladimir Guerrero Jr. 2B Ernie Clement 3B Kazuma Okamoto C Alejandro Kirk OF Fernando Tatis Jr. OF Andy Pages OF Jackson Merrill P Eduardo Rodriguez P Robbie Ray SS Mookie Betts,,Rafael Devers,1B,47.83%,26
8,5186826570,uteppunter,0,102.8,1B Rafael Devers 2B Luis Arraez 3B Casey Schmitt C Gabriel Moreno OF Kyle Tucker OF Fernando Tatis Jr. OF Corbin Carroll P Robbie Ray P JP Sears SS Mookie Betts,,Kazuma Okamoto,3B,43.48%,20
9,5186794387,MegM15,0,101.8,1B Vladimir Guerrero Jr. 2B Luis Arraez 3B Kyle Karros C Gabriel Moreno OF Mickey Moniak OF Fernando Tatis Jr. OF Andy Pages P Robbie Ray P JP Sears SS Mookie Betts,,Corbin Carroll,OF,43.48%,11
10,5186827865,caffeinated_punk,0,100.95,1B Rafael Devers 2B Luis Arraez 3B Manny Machado C Hunter Goodman OF George Springer OF Fernando Tatis Jr. OF Heliot Ramos P Eduardo Rodriguez P Robbie Ray SS Casey Schmitt,,JP Sears,P,39.13%,5.55
11,5186842983,boys4,0,99.65,1B Vladimir Guerrero Jr. 2B Ernie Clement 3B Kazuma Okamoto C Alejandro Kirk OF Fernando Tatis Jr. OF Corbin Carroll OF Jackson Merrill P Shane Bieber P JP Sears SS Xander Bogaerts,,Gabriel Moreno,C,34.78%,12
12,5186770831,nickenyon6,0,98.35,1B Rafael Devers 2B Ketel Marte 3B Kazuma Okamoto C Hunter Goodman OF George Springer OF Fernando Tatis Jr. OF Corbin Carroll P Robbie Ray P Shane Bieber SS Mookie Betts,,Hunter Goodman,C,30.43%,7
13,5186763657,CashLineCriminal,0,97.35,1B Vladimir Guerrero Jr. 2B Ketel Marte 3B Kazuma Okamoto C Hunter Goodman OF George Springer OF Fernando Tatis Jr. OF Andy Pages P Robbie Ray P Shane Bieber SS Casey Schmitt,,Heliot Ramos,OF,30.43%,0
14,5186820195,duckster12,0,91.8,1B Rafael Devers 2B Luis Arraez 3B Manny Machado C Hunter Goodman OF Tommy Edman OF Fernando Tatis Jr. OF Heliot Ramos P Robbie Ray P JP Sears SS Casey Schmitt,,Casey Schmitt,3B,30.43%,8
