Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5192449069,Goodfellas97,0,147.75,1B Willson Contreras 2B Ozzie Albies 3B Junior Caminero C Carter Jensen OF Jac Caglianone OF Wilyer Abreu OF Lane Thomas P Shane Drohan P Trevor Rogers SS Andruw Monasterio,,Shane Drohan,P,39.44%,25.3
2,5192858166,Mainzer90,0,145.1,1B Yandy Diaz 2B JJ Wetherholt 3B Caleb Durbin C Drake Baldwin OF Jackson Chourio OF Fernando Tatis Jr. OF Joc Pederson P Spencer Arrighetti P Trevor Rogers SS Otto Lopez,,Max Meyer,P,39.26%,9.15
3,5192907236,mello610,0,144.95,1B Alec Burleson 2B JJ Wetherholt 3B Nolan Arenado C Carter Jensen OF Fernando Tatis Jr. OF Wilyer Abreu OF Lars Nootbaar P Spencer Arrighetti P Shane Drohan SS Gunnar Henderson,,Bobby Witt Jr.,SS,28.79%,0
4,5192629513,ToddFred50,0,141.75,1B Alec Burleson 2B Ozzie Albies 3B Junior Caminero C Ivan Herrera OF Jackson Chourio OF Fernando Tatis Jr. OF Lane Thomas P Shane Drohan P Trevor Rogers SS Joey Ortiz,,Trevor Rogers,P,26.67%,23.45
5,5192882337,XYZee03,0,138.75,1B Jake Bauers 2B Ozzie Albies 3B Joey Ortiz C William Contreras OF Jackson Chourio OF Garrett Mitchell OF Joc Pederson P Shane Drohan P Trevor Rogers SS Gunnar Henderson,,Jordan Walker,OF,23.24%,5
6,5192795999,FoxyGrandpa252,0,136.05,1B Jake Bauers 2B Romy Gonzalez 3B Braden Shewmake C Carter Jensen OF Jackson Chourio OF Jac Caglianone OF Garrett Mitchell P MacKenzie Gore P Shane Drohan SS Xander Bogaerts,,JJ Wetherholt,2B,22.01%,8
7,5192923100,vilhmery,0,135.05,1B Alec Burleson 2B JJ Wetherholt 3B Ezequiel Duran C Carter Jensen OF Brandon Nimmo OF Lane Thomas OF Joc Pederson P MacKenzie Gore P Shane Drohan SS Bobby Witt Jr.,,Junior Caminero,3B,21.92%,3
8,5192625069,Thewretched38,0,134.75,1B Jac Caglianone 2B Michael Massey 3B Manny Machado C Carter Jensen OF Fernando Tatis Jr. OF Brandon Nimmo OF Joc Pederson P Shane Drohan P Trevor Rogers SS Bobby Witt Jr.,,Fernando Tatis Jr.,OF,21.83%,23
9,5192531625,1tafranks,0,133.8,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Gabriel Moreno OF Michael Harris II OF Wilyer Abreu OF Lane Thomas P Max Meyer P Spencer Arrighetti SS Masyn Winn,,Spencer Arrighetti,P,21.21%,17.65
10,5192413353,flek56,0,132.75,1B Willson Contreras 2B Romy Gonzalez 3B Manny Machado C Carter Jensen OF Fernando Tatis Jr. OF Jackson Merrill OF Wilyer Abreu P Shane Drohan P Trevor Rogers SS Xander Bogaerts,,Jackson Merrill,OF,21.21%,0
