Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5180639649,Webrin,0,180.2,1B Freddie Freeman 2B Zach McKinstry 3B Tommy Edman C Dalton Rushing OF Andy Pages OF Kyle Tucker OF Cedric Mullins P Bryce Miller P Framber Valdez SS Brayan Rocchio,,Bryce Miller,P,66.95%,34.55
2,5180414436,rybutts13,0,174.6,1B Jonathan Aranda 2B Richie Palacios 3B Tommy Edman C Dalton Rushing OF Chandler Simpson OF Cedric Mullins OF Victor Mesa Jr. P Bryce Miller P Nathan Eovaldi SS Mookie Betts,,Nathan Eovaldi,P,42.56%,23.05
3,5180755983,Boltmantom,0,171.6,1B Gavin Sheets 2B Jake Cronenworth 3B Max Muncy C Dalton Rushing OF Kyle Tucker OF Teoscar Hernandez OF Samad Taylor P Bryce Miller P Nathan Eovaldi SS Xander Bogaerts,,Junior Caminero,3B,34.06%,0
4,5180726947,ruru10,0,170.65,1B Alec Burleson 2B Chase Meidroth 3B Manny Machado C Elias Diaz OF Shohei Ohtani OF Riley Greene OF Dominic Canzone P Bryce Miller P Ian Seymour SS Brayan Rocchio,,Jonathan Aranda,1B,31.88%,3
5,5180376021,jmjones69,0,168.65,1B Kyle Manzardo 2B Chase Meidroth 3B Austin Riley C Dalton Rushing OF Andy Pages OF Kyle Tucker OF Steven Kwan P Bryce Miller P Ian Seymour SS Colson Montgomery,,Cedric Mullins,OF,30.61%,19
6,5180174438,Dethstar1972,0,168.6,1B Ty France 2B Cole Young 3B Manny Machado C Dalton Rushing OF Fernando Tatis Jr. OF Tommy Edman OF Kahlil Watson P Bryce Miller P Nathan Eovaldi SS Mookie Betts,,Kyle Teel,C,24.39%,11
6,5180756083,SirShaun01,0,168.6,1B Shohei Ohtani 2B Richie Palacios 3B Nick Loftin C Hunter Feduccia OF Jordan Walker OF Kyle Tucker OF Cedric Mullins P Bryce Miller P Nathan Eovaldi SS Taylor Walls,,Victor Mesa Jr.,OF,21.87%,0
8,5180746183,loigwine,0,166.9,1B Freddie Freeman 2B Jake Cronenworth 3B Tommy Edman C Dalton Rushing OF Andy Pages OF Kyle Tucker OF Lars Nootbaar P Bryce Miller P Roki Sasaki SS Taylor Walls,,Framber Valdez,P,21.61%,-3.35
9,5180395447,nrlane24,0,165.65,1B Alec Burleson 2B JJ Wetherholt 3B Junior Caminero C Ivan Herrera OF Jordan Walker OF Cedric Mullins OF Nathan Church P Bryce Miller P Ian Seymour SS Cam Cauley,,Bobby Witt Jr.,SS,20.19%,5
9,5180603370,lowellsp,0,165.65,1B Freddie Freeman 2B Chase Meidroth 3B Junior Caminero C Dalton Rushing OF Braden Montgomery OF Cedric Mullins OF Tristan Peters P Bryce Miller P Ian Seymour SS Taylor Walls,,Shohei Ohtani,OF,19.76%,5
11,5180416350,MKies816,0,165.6,1B Freddie Freeman 2B Nicky Lopez 3B Junior Caminero C Dalton Rushing OF Michael Harris II OF Cedric Mullins OF Alejandro Osuna P Bryce Miller P Nathan Eovaldi SS Taylor Walls,,Sam Antonacci,OF,18.84%,12
12,5180616248,scarlettavery,0,164.65,1B Spencer Torkelson 2B Michael Massey 3B Max Muncy C Ivan Herrera OF Jordan Walker OF Tommy Edman OF Gavin Sheets P Bryce Miller P Ian Seymour SS Brayan Rocchio,,Roki Sasaki,P,18.59%,-4.65
13,5180311400,mustangs2015,0,164.6,1B Alec Burleson 2B JJ Wetherholt 3B Austin Riley C Ivan Herrera OF Jordan Walker OF Kyle Tucker OF Dominic Smith P Bryce Miller P Nathan Eovaldi SS Jim Jarvis,,Ozzie Albies,2B,16.99%,4
14,5180702343,dallasmojo505,0,162.6,1B Jonathan Aranda 2B Cole Young 3B Max Muncy C Dalton Rushing OF Sam Antonacci OF Chandler Simpson OF Andrew Benintendi P Bryce Miller P Nathan Eovaldi SS Brayan Rocchio,,Colson Montgomery,SS,16.48%,3
15,5180590554,union575,0,161.6,1B Freddie Freeman 2B Chase Meidroth 3B Josh Jung C Elias Diaz OF Sam Antonacci OF Chandler Simpson OF Kahlil Watson P Bryce Miller P Nathan Eovaldi SS Ezequiel Duran,,Taylor Walls,SS,15.31%,11
16,5180671053,Drae_Wood,0,160.65,1B Ty France 2B Cole Young 3B Max Muncy C Dalton Rushing OF Randy Arozarena OF Chase DeLauter OF Cedric Mullins P Bryce Miller P Ian Seymour SS Mookie Betts,,Julio Rodriguez,OF,14.63%,2
17,5180361062,mhill224,0,159.65,1B Ty France 2B Nicky Lopez 3B Austin Riley C Kyle Teel OF Andy Pages OF Kyle Tucker OF Cedric Mullins P Bryce Miller P Ian Seymour SS Colson Montgomery,,Lane Thomas,OF,14.38%,5
18,5180686260,evan121110,0,158.65,1B Alec Burleson 2B JJ Wetherholt 3B J.P. Crawford C Drake Baldwin OF Jordan Walker OF Lars Nootbaar OF Nathan Church P Bryce Miller P Ian Seymour SS Colt Emerson,,Justin Foscue,2B,13.88%,2
19,5180277473,ufxgatorbox,0,158.6,1B Jonathan Aranda 2B Fernando Tatis Jr. 3B J.P. Crawford C Ivan Herrera OF Kyle Tucker OF Sam Antonacci OF Cedric Mullins P Bryce Miller P Nathan Eovaldi SS Taylor Walls,,Davis Martin,P,13.37%,-3.1
20,5180695475,DrLiberman,0,157.6,1B Jake Burger 2B Nicky Lopez 3B Gabriel Arias C Patrick Bailey OF Shohei Ohtani OF Andy Pages OF Jordan Walker P Bryce Miller P Nathan Eovaldi SS Brayan Rocchio,,Drake Baldwin,C,12.28%,7
20,5180750574,Dabigarch,0,157.6,1B Ty France 2B Zach McKinstry 3B Manny Machado C Carter Jensen OF Kyle Tucker OF Cedric Mullins OF Victor Mesa Jr. P Bryce Miller P Nathan Eovaldi SS Bobby Witt Jr.,,Fernando Tatis Jr.,2B,12.20%,16
22,5180543934,loafinit,0,156.65,1B Jonathan Aranda 2B Travis Bazzana 3B Max Muncy C Kyle Higashioka OF Jordan Walker OF Sam Antonacci OF Lars Nootbaar P Bryce Miller P Ian Seymour SS Taylor Walls,,Freddie Freeman,1B,12.11%,5
23,5180646994,Ramda_Bamda1,0,156.1,1B Jonathan Aranda 2B Justin Foscue 3B Josh Jung C Kyle Teel OF Kyle Tucker OF Cedric Mullins OF Mauricio Dubon P Bryce Miller P Walbert Urena SS Mookie Betts,,Chandler Simpson,OF,12.03%,18
