Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5192185385,DFeerrar (5/5),0,230.05,1B Andres Chaparro 2B JJ Wetherholt 3B Curtis Mead C Harry Ford OF Corbin Carroll OF Tyler Soderstrom OF James Wood P Reid Detmers P Troy Melton SS Geraldo Perdomo,,Troy Melton,P,59.07%,23.95
2,5192187489,wsndrsn,0,224.85,1B Andres Chaparro 2B JJ Wetherholt 3B Curtis Mead C Harry Ford OF Corbin Carroll OF Tyler Soderstrom OF Jordan Walker P Reid Detmers P Landen Roupp SS CJ Abrams,,Bryce Miller,P,54.01%,15.35
3,5192186153,gigoloJoe (6/6),0,214.3,1B Andres Chaparro 2B JJ Wetherholt 3B Curtis Mead C Harry Ford OF Lars Nootbaar OF James Wood OF Dylan Crews P Bryce Miller P Troy Melton SS Masyn Winn,,James Wood,OF,45.99%,13
4,5192193956,Wahoo_Sports,0,212.05,1B Andres Chaparro 2B JJ Wetherholt 3B Curtis Mead C Harry Ford OF Max Kepler OF Jordan Walker OF James Wood P Reid Detmers P Troy Melton SS CJ Abrams,,Reid Detmers,P,38.40%,25.1
5,5192195212,42Ballerz (1/2),0,209.05,1B Andres Chaparro 2B JJ Wetherholt 3B Curtis Mead C Harry Ford OF Carlos Cortes OF Dominic Canzone OF James Wood P Reid Detmers P Troy Melton SS CJ Abrams,,Jordan Walker,OF,34.18%,5
5,5192195234,42Ballerz (2/2),0,209.05,1B Andres Chaparro 2B JJ Wetherholt 3B Curtis Mead C Harry Ford OF Carlos Cortes OF Dominic Canzone OF James Wood P Reid Detmers P Troy Melton SS CJ Abrams,,Curtis Mead,3B,31.65%,32
7,5192200269,Jrg714,0,208.05,1B Andres Chaparro 2B Nasim Nunez 3B Curtis Mead C Cal Raleigh OF Tyler Soderstrom OF James Wood OF Dylan Crews P Reid Detmers P Troy Melton SS Geraldo Perdomo,,CJ Abrams,SS,22.36%,12
8,5192204720,monsoonserge (1/2),0,203.05,1B Alec Burleson 2B JJ Wetherholt 3B Curtis Mead C Harry Ford OF Tyler Soderstrom OF James Wood OF Dylan Crews P Reid Detmers P Troy Melton SS Nasim Nunez,,Mike Trout,OF,21.10%,5
9,5192198927,Jaycee37 (2/4),0,201.45,1B Andres Chaparro 2B Joshua Kuroda-Grauer 3B Curtis Mead C Harry Ford OF Corbin Carroll OF Jordan Walker OF James Wood P Reid Detmers P Bryce Miller SS Geraldo Perdomo,,JJ Wetherholt,2B,21.10%,19
10,5192212426,billyip2,0,200.7,1B Andres Chaparro 2B JJ Wetherholt 3B Curtis Mead C Ivan Herrera OF Tyler Soderstrom OF James Wood OF Nathan Church P Landen Roupp P Troy Melton SS Nasim Nunez,,Tyler Soderstrom,OF,21.10%,16
11,5192205608,Rpounds3 (2/3),0,200.2,1B Andres Chaparro 2B Nasim Nunez 3B Curtis Mead C Dillon Dingler OF Heliot Ramos OF Jordan Walker OF James Wood P Cade Cavalli P Reid Detmers SS Masyn Winn,,Geraldo Perdomo,SS,20.25%,6
12,5192209871,micAngelo,0,197.45,1B Andres Chaparro 2B Ketel Marte 3B Curtis Mead C Harry Ford OF Jorge Soler OF James Wood OF Dylan Crews P Reid Detmers P Bryce Miller SS Zach Neto,,Alec Burleson,1B,19.41%,9
13,5192184834,FoxyGrandpa252 (7/7),0,196.45,1B Andres Chaparro 2B Joshua Kuroda-Grauer 3B Curtis Mead C Harry Ford OF Carlos Cortes OF James Wood OF Henry Bolte P Reid Detmers P Bryce Miller SS CJ Abrams,,Dylan Crews,OF,18.14%,18
14,5192194388,124hoffman (1/4),0,191.45,1B Andres Chaparro 2B JJ Wetherholt 3B Curtis Mead C Jimmy Crooks OF Victor Robles OF James Wood OF Dylan Crews P Reid Detmers P Bryce Miller SS CJ Abrams,,Randy Arozarena,OF,17.72%,0
15,5192185382,DFeerrar (2/5),0,190.05,1B Alec Burleson 2B Nasim Nunez 3B Curtis Mead C Harry Ford OF Tyler Soderstrom OF James Wood OF Dylan Crews P Reid Detmers P Troy Melton SS Geraldo Perdomo,,Landen Roupp,P,16.88%,20.75
16,5192201369,812LID (2/2),0,189.3,1B Andres Chaparro 2B Joshua Kuroda-Grauer 3B Curtis Mead C Jimmy Crooks OF Jose Fermin OF James Wood OF Dylan Crews P Bryce Miller P Troy Melton SS CJ Abrams,,Nolan Arenado,3B,16.88%,2
17,5192203973,Jaycee37 (3/4),0,188.3,1B Alec Burleson 2B JJ Wetherholt 3B Curtis Mead C Harry Ford OF Daylen Lile OF Jacob Young OF Dylan Crews P Bryce Miller P Troy Melton SS Geraldo Perdomo,,Shea Langeliers,C,16.03%,14
18,5192204990,JustWinBabyx,0,185.1,1B Andres Chaparro 2B Nasim Nunez 3B Joshua Kuroda-Grauer C Shea Langeliers OF Jung Hoo Lee OF Heliot Ramos OF Dylan Crews P Bryce Miller P Landen Roupp SS CJ Abrams,,Harry Ford,C,16.03%,27
19,5192211792,monsoonserge (2/2),0,184.7,1B Alec Burleson 2B Nasim Nunez 3B Curtis Mead C Harry Ford OF Tyler Soderstrom OF James Wood OF Dylan Crews P Landen Roupp P Troy Melton SS Jacob Wilson,,Ivan Herrera,C,15.61%,4
