season,week,snapshot,captured_at,away_team,home_team,kickoff_utc,cbs_line_home,comm_pct_away,comm_pct_home,market_line_home,market_line_mean,market_line_median,market_total,n_books,book_disagreement,book_lines_json,board_age_seconds
2026,1,lock-wed,2026-09-09T22:56:20Z,NO,DET,2026-09-13T17:01:00+00:00,,,,-6.812,-6.833,-7.0,50.0,3,0.5,"{""draftkings"": -7.0, ""fanatics"": -7.0, ""fanduel"": -6.5}",
2026,1,lock-wed,2026-09-09T22:56:20Z,BAL,IND,2026-09-13T17:01:00+00:00,,,,3.375,3.333,3.5,47.625,3,0.5,"{""draftkings"": 3.5, ""fanatics"": 3.0, ""fanduel"": 3.5}",
2026,1,lock-wed,2026-09-09T22:56:20Z,TB,CIN,2026-09-13T17:01:00+00:00,,,,-3.5,-3.5,-3.5,50.5,3,0.0,"{""draftkings"": -3.5, ""fanatics"": -3.5, ""fanduel"": -3.5}",
2026,1,lock-wed,2026-09-09T22:56:20Z,WSH,PHI,2026-09-13T20:25:00+00:00,,,,-5.375,-5.333,-5.5,44.375,3,0.5,"{""draftkings"": -5.5, ""fanatics"": -5.0, ""fanduel"": -5.5}",
2026,1,lock-wed,2026-09-09T22:56:20Z,GB,MIN,2026-09-13T20:25:00+00:00,,,,-1.25,-1.167,-1.5,46.25,3,1.0,"{""draftkings"": -1.5, ""fanatics"": -0.5, ""fanduel"": -1.5}",
2026,1,lock-wed,2026-09-09T22:56:20Z,MIA,LV,2026-09-13T20:26:00+00:00,,,,-3.0,-3.0,-3.0,40.0,3,0.0,"{""draftkings"": -3.0, ""fanatics"": -3.0, ""fanduel"": -3.0}",
2026,1,lock-wed,2026-09-09T22:56:20Z,ARI,LAC,2026-09-13T20:26:00+00:00,,,,-9.375,-9.333,-9.5,47.375,3,0.5,"{""draftkings"": -9.5, ""fanatics"": -9.0, ""fanduel"": -9.5}",
2026,1,lock-wed,2026-09-09T22:56:20Z,DAL,NYG,2026-09-14T00:20:00+00:00,,,,2.812,2.833,3.0,48.375,3,0.5,"{""draftkings"": 3.0, ""fanatics"": 3.0, ""fanduel"": 2.5}",
2026,1,lock-wed,2026-09-09T22:56:20Z,DEN,KC,2026-09-15T00:15:00+00:00,,,,-2.5,-2.5,-2.5,43.5,3,0.0,"{""draftkings"": -2.5, ""fanatics"": -2.5, ""fanduel"": -2.5}",
2026,1,lock-thu,2026-09-10T23:00:03Z,SF,LAR,2026-09-11T00:35:00+00:00,,,,-3.5,-3.5,-3.5,47.5,3,0.0,"{""draftkings"": -3.5, ""fanatics"": -3.5, ""fanduel"": -3.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,BUF,HOU,2026-09-13T17:00:00+00:00,,,,1.5,1.5,1.5,44.625,3,0.0,"{""draftkings"": 1.5, ""fanatics"": 1.5, ""fanduel"": 1.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,CHI,CAR,2026-09-13T17:01:00+00:00,,,,3.0,3.0,3.0,47.0,3,0.0,"{""draftkings"": 3.0, ""fanatics"": 3.0, ""fanduel"": 3.0}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,CLE,JAX,2026-09-13T17:01:00+00:00,,,,-8.5,-8.5,-8.5,40.375,3,0.0,"{""draftkings"": -8.5, ""fanatics"": -8.5, ""fanduel"": -8.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,ATL,PIT,2026-09-13T17:01:00+00:00,,,,-4.5,-4.5,-4.5,41.5,3,0.0,"{""draftkings"": -4.5, ""fanatics"": -4.5, ""fanduel"": -4.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,NYJ,TEN,2026-09-13T17:01:00+00:00,,,,-1.5,-1.5,-1.5,38.5,3,0.0,"{""draftkings"": -1.5, ""fanatics"": -1.5, ""fanduel"": -1.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,NO,DET,2026-09-13T17:01:00+00:00,,,,-6.812,-6.833,-7.0,49.625,3,0.5,"{""draftkings"": -7.0, ""fanatics"": -7.0, ""fanduel"": -6.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,BAL,IND,2026-09-13T17:01:00+00:00,,,,3.5,3.5,3.5,47.625,3,0.0,"{""draftkings"": 3.5, ""fanatics"": 3.5, ""fanduel"": 3.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,TB,CIN,2026-09-13T17:01:00+00:00,,,,-3.625,-3.667,-3.5,50.375,3,0.5,"{""draftkings"": -3.5, ""fanatics"": -4.0, ""fanduel"": -3.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,WSH,PHI,2026-09-13T20:25:00+00:00,,,,-5.5,-5.5,-5.5,44.375,3,0.0,"{""draftkings"": -5.5, ""fanatics"": -5.5, ""fanduel"": -5.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,GB,MIN,2026-09-13T20:25:00+00:00,,,,-1.625,-1.667,-1.5,46.5,3,0.5,"{""draftkings"": -1.5, ""fanatics"": -2.0, ""fanduel"": -1.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,MIA,LV,2026-09-13T20:26:00+00:00,,,,-3.0,-3.0,-3.0,40.0,3,0.0,"{""draftkings"": -3.0, ""fanatics"": -3.0, ""fanduel"": -3.0}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,ARI,LAC,2026-09-13T20:26:00+00:00,,,,-9.375,-9.333,-9.5,47.375,3,0.5,"{""draftkings"": -9.5, ""fanatics"": -9.0, ""fanduel"": -9.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,DAL,NYG,2026-09-14T00:20:00+00:00,,,,2.812,2.833,3.0,48.375,3,0.5,"{""draftkings"": 3.0, ""fanatics"": 3.0, ""fanduel"": 2.5}",0
2026,1,lock-thu,2026-09-10T23:00:03Z,DEN,KC,2026-09-15T00:15:00+00:00,,,,-2.5,-2.5,-2.5,43.5,3,0.0,"{""draftkings"": -2.5, ""fanatics"": -2.5, ""fanduel"": -2.5}",0
