Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5192668907,packer_dan,0,140.6,1B Michael Busch 2B Ernie Clement 3B Eugenio Suarez C Jose Trevino OF JJ Bleday OF Jake McCarthy OF Noelvi Marte P Matthew Boyd P Shane Bieber SS Elly De La Cruz,,Matthew Boyd,P,82.61%,21.1
1,5192773197,Double_L,0,140.6,1B Michael Busch 2B Ernie Clement 3B Eugenio Suarez C Jose Trevino OF JJ Bleday OF Jake McCarthy OF Noelvi Marte P Matthew Boyd P Shane Bieber SS Elly De La Cruz,,Elly De La Cruz,SS,73.91%,8
3,5192767145,Cool_Slats,0,119.6,1B Michael Busch 2B Nico Hoerner 3B Alex Bregman C Alejandro Kirk OF JJ Bleday OF Jake McCarthy OF Ian Happ P Matthew Boyd P Shane Bieber SS Elly De La Cruz,,Taj Bradley,P,60.87%,7.25
4,5192706211,tvielkin,0,114.35,1B Vladimir Guerrero Jr. 2B Ernie Clement 3B Eugenio Suarez C Jose Trevino OF Jake McCarthy OF Noelvi Marte OF Dane Myers P Taj Bradley P Matthew Boyd SS Elly De La Cruz,,Ernie Clement,2B,47.83%,0
5,5192816240,rmknks,0,110.35,1B TJ Rumfield 2B Edwin Arroyo 3B Sal Stewart C Brett Sullivan OF Cole Carrigg OF Noelvi Marte OF Dane Myers P Taj Bradley P Matthew Boyd SS Elly De La Cruz,,JJ Bleday,OF,43.48%,3
6,5192690863,juliom328,0,108.6,1B TJ Rumfield 2B Ernie Clement 3B Eugenio Suarez C Kyle Teel OF JJ Bleday OF Jake McCarthy OF Nathan Lukes P Matthew Boyd P Shane Bieber SS Elly De La Cruz,,Jake McCarthy,OF,43.48%,21
7,5192756184,BLHOLT15,0,106.6,1B TJ Rumfield 2B Edwin Arroyo 3B Brooks Lee C Ryan Jeffers OF Pete Crow-Armstrong OF Noelvi Marte OF George Springer P Matthew Boyd P Shane Bieber SS Colson Montgomery,,Eugenio Suarez,3B,43.48%,0
8,5192806410,SirMayhem,0,104.35,1B TJ Rumfield 2B Willi Castro 3B Kazuma Okamoto C Kyle Teel OF JJ Bleday OF Jake McCarthy OF Cole Carrigg P Taj Bradley P Matthew Boyd SS Ernie Clement,,Shane Bieber,P,39.13%,26.5
9,5192804908,boyblue09,0,101.6,1B Spencer Steer 2B Ernie Clement 3B Alex Bregman C Alejandro Kirk OF Jake McCarthy OF Cole Carrigg OF Sam Antonacci P Matthew Boyd P Shane Bieber SS Elly De La Cruz,,Noelvi Marte,OF,30.43%,12
10,5192693737,nickenyon6,0,98.35,1B TJ Rumfield 2B Edwin Arroyo 3B Eugenio Suarez C Brett Sullivan OF JJ Bleday OF Noelvi Marte OF George Springer P Taj Bradley P Matthew Boyd SS Elly De La Cruz,,Alejandro Kirk,C,30.43%,2
11,5192794306,jomarjr3,0,91.6,1B Sal Stewart 2B Edwin Arroyo 3B Eugenio Suarez C Miguel Amaya OF JJ Bleday OF Jake McCarthy OF Ryan Kreidler P Matthew Boyd P Shane Bieber SS Elly De La Cruz,,Edwin Arroyo,2B,30.43%,3
12,5192817358,gorillabiscuit,0,83.35,1B Spencer Steer 2B Ernie Clement 3B Eugenio Suarez C Brett Sullivan OF Cole Carrigg OF Noelvi Marte OF Dane Myers P Taj Bradley P Matthew Boyd SS Elly De La Cruz,,Cole Carrigg,OF,30.43%,18
