mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,Luis Castillo,SEA,7600,17.2,17.2,25.1,P,6158330,P-prop
cash,P,Kumar Rocker,TEX,6400,14.7,14.7,27.8,P,6157292,P-prop
cash,C,Hunter Goodman,COL,6100,12.2,15.5,7.7,C,824329,H-slot3
cash,1B,TJ Rumfield,COL,4500,10.0,11.3,4.7,1B,824329,H-slot5
cash,2B,José Tena,WSH,4000,9.7,10.8,9.2,2B,824329,H-slot3
cash,3B,Kyle Karros,COL,3700,9.1,10.1,10.5,3B,824329,H-slot6
cash,SS,Geraldo Perdomo,ARI,4000,9.2,9.9,9.0,SS,825056,H-slot2
cash,OF,Cole Carrigg,COL,4400,12.3,13.6,12.6,OF,824329,H-slot2
cash,OF,Jake McCarthy,COL,4800,11.6,13.0,11.2,OF,824329,H-slot1
cash,OF,Daylen Lile,WSH,4500,10.1,11.2,6.0,OF,824329,H-slot6
gpp,P,Reynaldo Lopez,ATL,7100,13.6,13.6,7.8,P,6157201,P-prop
gpp,P,Kohl Drake,ARI,6300,11.3,11.3,4.9,P,6156983,P-prop
gpp,C,Hunter Goodman,COL,6100,12.2,15.5,7.7,C,824329,H-slot3
gpp,1B,Luis García Jr.,WSH,5500,11.7,14.4,6.0,1B,824329,H-slot2
gpp,2B,José Tena,WSH,4000,9.7,10.8,9.2,2B,824329,H-slot3
gpp,3B,Blaze Jordan,STL,2200,5.5,5.9,2.9,1B/3B,824005,H-slot8
gpp,SS,Nasim Nuñez,WSH,4400,9.7,9.8,4.7,2B/SS,824329,H-slot8
gpp,OF,Jacob Young,WSH,4200,7.6,8.7,3.1,OF,824329,H-slot9
gpp,OF,James Wood,WSH,6900,13.0,15.7,7.7,OF,824329,H-slot1
gpp,OF,Griffin Conine,MIA,3200,7.8,10.5,6.4,OF,824165,H-slot6
