mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,Taj Bradley,MIN,8900,17.0,17.0,61.4,P,6159059,P-prop
cash,P,Matthew Boyd,CHC,7900,16.3,16.3,65.0,P,6159059,P-prop
cash,C,Alejandro Kirk,TOR,2700,6.0,6.7,17.0,C,822790,H-slot7
cash,1B,Sal Stewart,CIN,5900,12.4,14.5,19.7,1B/3B,824331,H-slot2
cash,2B,Ernie Clement,TOR,3200,7.5,8.4,31.3,2B/SS,822790,H-slot1
cash,3B,Eugenio Suárez,CIN,4500,11.0,12.7,26.3,3B,824331,H-slot5
cash,SS,Elly De La Cruz,CIN,6500,13.8,15.8,45.0,SS,824331,H-slot1
cash,OF,Jake McCarthy,COL,4600,11.2,12.6,24.7,OF,824331,H-slot1*PROJ
cash,OF,Dane Myers,CIN,2800,9.4,10.2,34.4,OF,824331,H-slot7
cash,OF,Nathan Lukes,TOR,2900,7.4,8.4,22.4,OF,822790,H-slot2
gpp,P,Davis Martin,CWS,8400,11.3,11.3,5.3,P,6157160,P-prop
gpp,P,Rhett Lowder,CIN,6700,9.3,9.3,6.6,P,6158131,P-prop
gpp,C,Miguel Amaya,CHC,2800,4.9,5.5,8.4,C,824657,H-slot9
gpp,1B,Munetaka Murakami,CWS,5200,10.0,13.4,11.9,1B,822790,H-slot2
gpp,2B,Chase Meidroth,CWS,3700,5.7,6.3,6.1,2B,822790,H-slot9
gpp,3B,Miguel Vargas,CWS,5600,8.2,10.5,7.2,1B/3B,822790,H-slot3
gpp,SS,Dansby Swanson,CHC,4100,6.0,7.6,6.4,SS,824657,H-slot8
gpp,OF,Tristan Peters,CWS,2700,7.1,7.9,14.8,OF,822790,H-slot8
gpp,OF,Sam Antonacci,CWS,4100,9.5,10.6,18.2,OF,822790,H-slot1
gpp,OF,Pete Crow-Armstrong,CHC,6600,8.4,10.6,5.5,OF,824657,H-slot1
