Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5195740374,sportsfanatic89,0,117.5,1B Shohei Ohtani 2B Luis Rengifo 3B Alec Bohm C Drake Baldwin OF Yordan Alvarez OF Kyle Schwarber OF Heriberto Hernandez P Colin Rea P Spencer Miles SS Trea Turner,,Colin Rea,P,64.52%,9.05
1,5196557549,JBona78,0,117.5,1B Shohei Ohtani 2B Luis Rengifo 3B Alec Bohm C Drake Baldwin OF Yordan Alvarez OF Kyle Schwarber OF Heriberto Hernandez P Colin Rea P Spencer Miles SS Trea Turner,,Jazz Chisholm Jr.,2B,64.52%,8
3,5196337713,anthonyplaygolf,0,105.6,1B Yandy Diaz 2B Ozzie Albies 3B Alec Bohm C Austin Wells OF Fernando Tatis Jr. OF Cody Bellinger OF Trent Grisham P Peter Lambert P Kyle Bradish SS Xander Bogaerts,,Trent Grisham,OF,61.29%,2
4,5195857163,corksoaker,0,105.15,1B Jonathan Aranda 2B Luis Rengifo 3B Max Muncy C Dalton Rushing OF Shohei Ohtani OF Wyatt Langford OF Heriberto Hernandez P Michael King P Colin Rea SS Trea Turner,,Drake Baldwin,C,59.68%,14
5,5196552933,Redraid4,0,101.85,1B Shohei Ohtani 2B Luis Rengifo 3B Alec Bohm C Drake Baldwin OF Taylor Ward OF Tyler O'Neill OF Trent Grisham P Sandy Alcantara P Griffin Jax SS Kevin McGonigle,,Trea Turner,SS,54.84%,4
6,5196050067,Cooper.1651,0,98.100006,1B Shohei Ohtani 2B Jazz Chisholm Jr. 3B Alec Bohm C Drake Baldwin OF Taylor Ward OF Tyler O'Neill OF Trent Grisham P Colin Rea P Max Fried SS Kevin McGonigle,,Shohei Ohtani,1B,48.39%,2
7,5195990186,jlegrand22,0,97.95,1B Bryce Harper 2B Travis Bazzana 3B Alec Bohm C Rafael Marchan OF Shohei Ohtani OF Edmundo Sosa OF Cam Cauley P Kyle Bradish P Max Fried SS Trea Turner,,Sandy Alcantara,P,46.77%,5.75
8,5195762834,CantGetRight69,0,95.950005,1B Shohei Ohtani 2B Jazz Chisholm Jr. 3B Alec Bohm C Drake Baldwin OF Chase DeLauter OF Heriberto Hernandez OF Trent Grisham P Colin Rea P Kyle Bradish SS Trea Turner,,Peter Lambert,P,38.71%,10.7
8,5196010964,sra7991,0,95.950005,1B Shohei Ohtani 2B Jazz Chisholm Jr. 3B Alec Bohm C Drake Baldwin OF Chase DeLauter OF Heriberto Hernandez OF Trent Grisham P Colin Rea P Kyle Bradish SS Trea Turner,,Alec Bohm,3B,30.65%,21
10,5196085268,SirMayhem,0,94.35,1B Christian Encarnacion-Strand 2B Chase Meidroth 3B Yandy Diaz C Drake Baldwin OF Yordan Alvarez OF Chandler Simpson OF Victor Mesa Jr. P Sandy Alcantara P Bailey Ober SS Colson Montgomery,,Tyler O'Neill,OF,29.03%,5
11,5196444549,ERINHANNAH,0,94.2,1B Michael Busch 2B Luis Rengifo 3B Daniel Schneemann C Dalton Rushing OF Shohei Ohtani OF Kyle Schwarber OF Wyatt Langford P Griffin Jax P Michael King SS Edmundo Sosa,,Manny Machado,3B,25.81%,2
12,5196424916,Richwar,0,92.85,1B Ben Rice 2B Jazz Chisholm Jr. 3B Brooks Lee C Dillon Dingler OF Fernando Tatis Jr. OF Steven Kwan OF Esmerlyn Valdez P Sandy Alcantara P Michael King SS Nicky Lopez,,Shohei Ohtani,OF,24.19%,2
13,5195989556,zacsmith1,0,91.149994,1B Vladimir Guerrero Jr. 2B Xavier Edwards 3B Colt Keith C Dalton Rushing OF Kyle Tucker OF Kerry Carpenter OF Braden Montgomery P Michael King P Max Fried SS Otto Lopez,,Wyatt Langford,OF,24.19%,2
14,5196054944,Mikeypo2017,0,88.8,1B Paul Goldschmidt 2B Jazz Chisholm Jr. 3B Alec Bohm C Alejandro Kirk OF Shohei Ohtani OF Tyler O'Neill OF Trent Grisham P Sandy Alcantara P Max Fried SS Trea Turner,,Heriberto Hernandez,OF,22.58%,13
15,5196278218,samchoudhury,0,88.75,1B Shohei Ohtani 2B Jazz Chisholm Jr. 3B Alec Bohm C Drake Baldwin OF Wyatt Langford OF Bryan De La Cruz OF Trent Grisham P Peter Lambert P Colin Rea SS Trea Turner,,Fernando Tatis Jr.,OF,22.58%,18
16,5196386077,mattrix83,0,86.75,1B Ty France 2B Justin Foscue 3B Max Muncy C Alejandro Kirk OF Shohei Ohtani OF Fernando Tatis Jr. OF Steven Kwan P Peter Lambert P Colin Rea SS Colson Montgomery,,Chase DeLauter,OF,17.74%,3
17,5196280349,macyfan,0,86.5,1B Shohei Ohtani 2B Jazz Chisholm Jr. 3B Manny Machado C Drake Baldwin OF Fernando Tatis Jr. OF Heriberto Hernandez OF Trent Grisham P Colin Rea P Spencer Miles SS Trea Turner,,Ben Rice,1B,14.52%,0
17,5196428840,jjbrock,0,86.5,1B Shohei Ohtani 2B Jazz Chisholm Jr. 3B Manny Machado C Drake Baldwin OF Fernando Tatis Jr. OF Heriberto Hernandez OF Trent Grisham P Colin Rea P Spencer Miles SS Trea Turner,,Jose Ramirez,3B,12.90%,12
19,5196114867,drunkonpappy,0,86.1,1B Ben Rice 2B Jazz Chisholm Jr. 3B Jose Ramirez C Drake Baldwin OF Wyatt Langford OF Tyler O'Neill OF Jasson Dominguez P Colin Rea P Max Fried SS Otto Lopez,,Edmundo Sosa,SS,11.29%,0
20,5196490856,thomasteix23,0,84,1B Shohei Ohtani 2B Jazz Chisholm Jr. 3B Jose Ramirez C Hunter Feduccia OF Wyatt Langford OF Jakob Marsee OF Cam Cauley P Michael King P Kyle Bradish SS Trea Turner,,Cody Bellinger,OF,11.29%,9
21,5196540367,dudju,0,83.8,1B Ty France 2B Travis Bazzana 3B Manny Machado C Dalton Rushing OF Shohei Ohtani OF Fernando Tatis Jr. OF Chase DeLauter P Sandy Alcantara P Colin Rea SS Brayan Rocchio,,Steven Kwan,OF,11.29%,9
22,5196451695,Bamzclaz,0,82.15,1B Munetaka Murakami 2B Travis Bazzana 3B Daniel Schneemann C Dalton Rushing OF Kyle Schwarber OF Teoscar Hernandez OF Chase DeLauter P Peter Lambert P Anthony Kay SS Trea Turner,,Ty France,1B,11.29%,0
23,5196019192,krazykatz,0,81.9,1B Ben Rice 2B Ozzie Albies 3B Alec Bohm C Rafael Marchan OF Pete Crow-Armstrong OF Seiya Suzuki OF Cam Cauley P Peter Lambert P Aaron Nola SS Trea Turner,,Spencer Miles,P,9.68%,14.45
24,5196155648,LetsGoRedSox,0,79.75,1B Shohei Ohtani 2B Jazz Chisholm Jr. 3B Luis Rengifo C Drake Baldwin OF Tyler O'Neill OF Cody Bellinger OF Trent Grisham P Peter Lambert P Colin Rea SS Trea Turner,,Luis Rengifo,2B,9.68%,16
24,5196451841,fritzruby1,0,79.75,1B Shohei Ohtani 2B Jazz Chisholm Jr. 3B Luis Rengifo C Drake Baldwin OF Tyler O'Neill OF Cody Bellinger OF Trent Grisham P Peter Lambert P Colin Rea SS Trea Turner,,Kyle Bradish,P,9.68%,19.9
26,5195990213,Double_L,0,76.8,1B Shohei Ohtani 2B Jazz Chisholm Jr. 3B Alec Bohm C Drake Baldwin OF Wyatt Langford OF Steven Kwan OF Trent Grisham P Sandy Alcantara P Colin Rea SS Trea Turner,,Kyle Schwarber,OF,8.06%,5
26,5196090148,jjohn123,0,76.8,1B Shohei Ohtani 2B Jazz Chisholm Jr. 3B Alec Bohm C Drake Baldwin OF Wyatt Langford OF Steven Kwan OF Trent Grisham P Sandy Alcantara P Colin Rea SS Trea Turner,,Michael King,P,8.06%,20.1
