Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5195616934,daviskg8,0,155.75,1B Bryce Eldridge 2B Jake Cronenworth 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Max Kepler P Luis Castillo P David Peterson SS CJ Abrams,,Luis Castillo,P,66.67%,12.15
2,5195612074,Bulldawg633,0,150.75,1B Luis Garcia Jr. 2B Jose Tena 3B Blaze Jordan C Hunter Goodman OF Jake McCarthy OF Daylen Lile OF Jo Adell P Luis Castillo P David Peterson SS CJ Abrams,,James Wood,OF,61.54%,16
2,5195647528,howudewin,0,150.75,1B Luis Garcia Jr. 2B Jose Tena 3B Blaze Jordan C Hunter Goodman OF Jake McCarthy OF Daylen Lile OF Jo Adell P Luis Castillo P David Peterson SS CJ Abrams,,Daylen Lile,OF,58.97%,5
4,5195666038,dominologist,0,146.85,1B Luis Garcia Jr. 2B Jose Tena 3B Nolan Arenado C Keibert Ruiz OF James Wood OF Max Kepler OF Jorge Barrosa P Luis Castillo P Kumar Rocker SS CJ Abrams,,Jose Tena,2B,48.72%,7
5,5195670088,macyfan,0,146.75,1B Bryce Eldridge 2B Jake Cronenworth 3B Kyle Karros C Hunter Goodman OF James Wood OF Cole Carrigg OF Daulton Varsho P Luis Castillo P David Peterson SS CJ Abrams,,David Peterson,P,46.15%,24.6
6,5195661123,sasmallen,0,142.9,1B Munetaka Murakami 2B Jose Tena 3B Kyle Karros C Logan O'Hoppe OF James Wood OF Daylen Lile OF Cole Carrigg P Tatsuya Imai P David Peterson SS CJ Abrams,,Hunter Goodman,C,46.15%,21
7,5195662764,Double_L,0,138.85,1B Luis Garcia Jr. 2B Jose Tena 3B Vaughn Grissom C Logan O'Hoppe OF James Wood OF Daylen Lile OF Jo Adell P Luis Castillo P Kumar Rocker SS CJ Abrams,,Kyle Karros,3B,46.15%,8
8,5195678938,boricuaking,0,138.8,1B Luis Garcia Jr. 2B Hao-Yu Lee 3B Vaughn Grissom C Dillon Dingler OF Jo Adell OF Jorge Soler OF Braden Montgomery P Chase Burns P Reynaldo Lopez SS CJ Abrams,,Cole Carrigg,OF,41.03%,16
9,5195618909,kyleputt,0,136.75,1B Luis Garcia Jr. 2B Jose Tena 3B Vaughn Grissom C Hunter Goodman OF Jake McCarthy OF Lane Thomas OF Heriberto Hernandez P Luis Castillo P David Peterson SS CJ Abrams,,Bryce Eldridge,1B,35.90%,3
10,5195663504,Orochi,0,134.75,1B Bryce Eldridge 2B Jake Cronenworth 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Tristan Peters P Luis Castillo P David Peterson SS CJ Abrams,,CJ Abrams,SS,35.90%,34
11,5195662417,gorillabiscuit,0,122.85,1B TJ Rumfield 2B Jose Tena 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Daylen Lile OF Cole Carrigg P Luis Castillo P Kumar Rocker SS Geraldo Perdomo,,Willy Adames,SS,30.77%,0
12,5195658967,anthonyplaygolf,0,121.75,1B Jake Cronenworth 2B Jose Tena 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Cole Carrigg P Luis Castillo P David Peterson SS Geraldo Perdomo,,Chase Burns,P,20.51%,24.25
13,5195590445,butero,0,113.4,1B Jonah Heim 2B Hao-Yu Lee 3B Blaze Jordan C Shea Langeliers OF James Wood OF Daylen Lile OF Cam Cauley P Chase Burns P Luis Castillo SS Jacob Wilson,,Luis Garcia Jr.,1B,17.95%,11
14,5195586280,nickenyon6,0,112.75,1B Bryce Eldridge 2B Jose Tena 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Cole Carrigg P Luis Castillo P David Peterson SS Willy Adames,,Framber Valdez,P,15.38%,-13.3
14,5195590626,GoaTesk,0,112.75,1B Bryce Eldridge 2B Jose Tena 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Cole Carrigg P Luis Castillo P David Peterson SS Willy Adames,,Jo Adell,OF,15.38%,19
14,5195615342,CashLineCriminal,0,112.75,1B Bryce Eldridge 2B Jose Tena 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Cole Carrigg P Luis Castillo P David Peterson SS Willy Adames,,Jake Cronenworth,2B,15.38%,7
14,5195619429,fritzruby1,0,112.75,1B Bryce Eldridge 2B Jose Tena 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Cole Carrigg P Luis Castillo P David Peterson SS Willy Adames,,Curtis Mead,3B,12.82%,0
14,5195641607,Elklvr,0,112.75,1B Bryce Eldridge 2B Jose Tena 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Cole Carrigg P Luis Castillo P David Peterson SS Willy Adames,,Logan O'Hoppe,C,12.82%,0
14,5195647455,samchoudhury,0,112.75,1B Bryce Eldridge 2B Jose Tena 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Cole Carrigg P Luis Castillo P David Peterson SS Willy Adames,,Jake McCarthy,OF,12.82%,12
14,5195656557,sportsfanatic89,0,112.75,1B Bryce Eldridge 2B Jose Tena 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Cole Carrigg P Luis Castillo P David Peterson SS Willy Adames,,Keibert Ruiz,C,12.82%,4
14,5195658339,griffalicious24,0,112.75,1B Bryce Eldridge 2B Jose Tena 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Cole Carrigg P Luis Castillo P David Peterson SS Willy Adames,,Yordan Alvarez,OF,12.82%,8
14,5195674628,LetsGoRedSox,0,112.75,1B Bryce Eldridge 2B Jose Tena 3B Kyle Karros C Hunter Goodman OF James Wood OF Daylen Lile OF Cole Carrigg P Luis Castillo P David Peterson SS Willy Adames,,Blaze Jordan,3B,10.26%,5
23,5195677342,xseanx413x,0,112.05,1B Jared Young 2B Bryan Torres 3B Josh Jung C Shea Langeliers OF James Wood OF Wyatt Langford OF Cam Cauley P Kevin Gausman P Luis Castillo SS Jacob Wilson,,Hao-Yu Lee,2B,10.26%,5
24,5195653080,kaneb,0,108.7,1B TJ Rumfield 2B Nasim Nunez 3B Alex Bregman C Keibert Ruiz OF Seiya Suzuki OF Daylen Lile OF Cole Carrigg P Luis Castillo P Walker Buehler SS Dansby Swanson,,Vaughn Grissom,3B,10.26%,7
25,5195673554,scottymac825,0,108.5,1B Jared Young 2B Bryan Torres 3B Blaze Jordan C Shea Langeliers OF James Wood OF Jackson Chourio OF Wyatt Langford P Kevin Gausman P David Peterson SS Zach Neto,,Kumar Rocker,P,10.26%,27.7
26,5195670046,Pray_4_Rain,0,105.4,1B Tommy White 2B Hao-Yu Lee 3B Vaughn Grissom C Drake Baldwin OF James Wood OF Jo Adell OF Tristan Peters P Chase Burns P Luis Castillo SS Zach Neto,,Shea Langeliers,C,7.69%,16
