mode,slot,player,team,salary,proj,ceiling,own
cash,P,Griffin Jax,TB,7500,16.7,16.7,36.1
cash,P,Cam Schlittler,NYY,11000,19.3,19.3,13.7
cash,C,Iván Herrera,STL,3900,8.4,9.6,10.1
cash,1B,Christian Walker,HOU,3700,8.9,11.2,11.8
cash,2B,Jose Altuve,HOU,3600,9.9,11.2,13.7
cash,3B,Braden Shewmake,HOU,2800,7.7,9.2,5.4
cash,SS,Francisco Lindor,NYM,4200,9.1,10.3,10.8
cash,OF,Kyle Tucker,LAD,4500,10.3,11.1,11.3
cash,OF,Shohei Ohtani,LAD,6500,13.7,15.9,20.9
cash,OF,Brice Matthews,HOU,2200,7.6,8.7,9.2
gpp,P,Landen Roupp,SF,8300,15.7,15.7,13.6
gpp,P,Cam Schlittler,NYY,11000,19.3,19.3,13.7
gpp,C,Francisco Alvarez,NYM,3300,6.8,8.5,8.5
gpp,1B,Freddie Freeman,LAD,6000,9.7,11.4,5.2
gpp,2B,Brice Matthews,HOU,2200,7.6,8.7,9.2
gpp,3B,Braden Shewmake,HOU,2800,7.7,9.2,5.4
gpp,SS,Mookie Betts,LAD,4800,9.2,11.2,14.3
gpp,OF,Kyle Tucker,LAD,4500,10.3,11.1,11.3
gpp,OF,Teoscar Hernández,LAD,4200,8.9,10.3,6.7
gpp,OF,Victor Bericoto,SF,2900,6.5,9.8,4.2
