mode,slot,player,team,salary,proj,ceiling,own
cash,P,Tarik Skubal,DET,10000,23.0,23.0,18.0
cash,P,Bryan Woo,SEA,9000,23.0,23.0,26.0
cash,C,Drew Cavanaugh,SF,2500,7.4,7.4,13.4
cash,1B,Rafael Devers,SF,3500,9.7,11.4,8.4
cash,2B,Anthony Seigler,BOS,2400,8.6,9.9,24.2
cash,3B,Matt Chapman,SF,3400,8.7,9.5,9.8
cash,SS,Geraldo Perdomo,AZ,3800,9.6,10.3,6.8
cash,OF,Jakob Marsee,MIA,4700,12.0,12.5,8.1
cash,OF,Shohei Ohtani,LAD,6600,13.0,15.2,1.4
cash,OF,Griffin Conine,MIA,4100,10.3,12.2,4.6
gpp,P,Bryan Woo,SEA,9000,23.0,23.0,26.0
gpp,P,Tarik Skubal,DET,10000,23.0,23.0,18.0
gpp,C,Iván Herrera,STL,4100,9.0,10.2,0.9
gpp,1B,Griffin Conine,MIA,4100,10.3,12.2,4.6
gpp,2B,Xavier Edwards,MIA,5100,10.5,11.2,2.6
gpp,3B,Amed Rosario,NYY,3500,7.1,9.3,2.4
gpp,SS,Joshua Kuroda-Grauer,ATH,2000,6.2,7.4,7.4
gpp,OF,Jakob Marsee,MIA,4700,12.0,12.5,8.1
gpp,OF,Owen Caissie,MIA,3900,9.3,11.0,6.3
gpp,OF,Kerry Carpenter,DET,3600,8.7,11.5,2.3
