Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,5180093949,WildKat,0,120.8,1B Freddie Freeman 2B Ketel Marte 3B Javier Sanoja C Jonah Heim OF Jackson Chourio OF Kyle Stowers OF Shohei Ohtani P Shane Drohan P Jack Dreyer SS Geraldo Perdomo,,Shea Langeliers,C,11.16%,17
24,5180082337,duegigs,0,120.75,1B Jonathan Aranda 2B Joshua Kuroda-Grauer 3B Yandy Diaz C William Contreras OF Jackson Chourio OF Cedric Mullins OF Victor Mesa Jr. P Shane McClanahan P Taj Bradley SS Elly De La Cruz,,Freddie Freeman,1B,11.16%,21
25,5180072507,Prestonite (2/14),0,120.45,1B Jonathan Aranda 2B Ketel Marte 3B Javier Sanoja C Yainer Diaz OF Jackson Chourio OF Andy Pages OF Cedric Mullins P Max Meyer P Shane Drohan SS Geraldo Perdomo,,Corbin Carroll,OF,10.53%,2
26,5180078917,Timmer21774 (2/2),0,118.95,1B Jake Bauers 2B Brice Turang 3B Blaze Jordan C William Contreras OF Jackson Chourio OF Luke Keaschall OF Cedric Mullins P Max Meyer P Taj Bradley SS Cooper Pratt,,Zac Gallen,P,10.11%,3.95
26,5180107700,eking4213,0,118.95,1B Josh Bell 2B Kody Clemens 3B Brooks Lee C Brian Navarreto OF Heriberto Hernandez OF Esteury Ruiz OF Trevor Larnach P Max Meyer P Taj Bradley SS Otto Lopez,,Tommy Edman,2B,9.89%,2
28,5180072516,Prestonite (11/14),0,118.6,1B Rafael Devers 2B Luis Arraez 3B Junior Caminero C Drew Cavanaugh OF Yordan Alvarez OF Jung Hoo Lee OF Shohei Ohtani P Taj Bradley P Shane Drohan SS Joshua Kuroda-Grauer,,Joshua Kuroda-Grauer,SS,9.68%,10
29,5180070871,sh-13,0,117.6,1B Nick Kurtz 2B Joshua Kuroda-Grauer 3B Javier Sanoja C Jonah Heim OF Heriberto Hernandez OF Esteury Ruiz OF Colby Thomas P Max Meyer P Shane McClanahan SS Otto Lopez,,Andy Pages,OF,9.68%,5
30,5180077609,Darkmen715 (12/14),0,116.65,1B TJ Rumfield 2B Willi Castro 3B Javier Sanoja C Hunter Goodman OF Mickey Moniak OF Jake McCarthy OF Cedric Mullins P Taj Bradley P Tatsuya Imai SS Joshua Kuroda-Grauer,,Michael Harris II,OF,9.47%,5
31,5180076693,Timmer21774 (1/2),0,116.6,1B Nick Kurtz 2B Joshua Kuroda-Grauer 3B Yandy Diaz C Shea Langeliers OF Tommy Edman OF Henry Bolte OF Cedric Mullins P Max Meyer P Shane McClanahan SS Taylor Walls,,William Contreras,C,8.84%,7
32,5180091681,NeoRevan,0,116.4,1B Shohei Ohtani 2B Edwin Arroyo 3B Javier Sanoja C Hunter Goodman OF Yordan Alvarez OF Esteury Ruiz OF Jung Hoo Lee P Seth Lugo P Trevor McDonald SS Taylor Walls,,JJ Wetherholt,2B,8.63%,2
33,5180078259,Wanna_Square_Up1567 (11/14),0,116.1,1B Sal Stewart 2B Ozzie Albies 3B Eugenio Suarez C Drake Baldwin OF Spencer Steer OF Noelvi Marte OF Shohei Ohtani P Taj Bradley P Kyle Freeland SS Elly De La Cruz,,Rafael Devers,1B,8.42%,7
34,5180065162,Emac (4/14),0,114.6,1B Jonathan Aranda 2B Alex Freeland 3B Yandy Diaz C Shea Langeliers OF Chandler Simpson OF Cedric Mullins OF Shohei Ohtani P Taj Bradley P Shane Drohan SS Taylor Walls,,Taylor Walls,SS,8.42%,11
35,5180073690,Fishnaked,0,114.15,1B TJ Rumfield 2B Willi Castro 3B Javier Sanoja C Jonah Heim OF Mickey Moniak OF Troy Johnston OF Heliot Ramos P Tatsuya Imai P Shane Drohan SS Otto Lopez,,Nick Kurtz,1B,8.42%,8
36,5180084331,lifelongbuc,0,113.95,1B Shohei Ohtani 2B Ivan Johnson 3B Raynel Delgado C Hunter Goodman OF Yordan Alvarez OF Jackson Chourio OF Victor Bericoto P Max Meyer P Taj Bradley SS Joshua Kuroda-Grauer,,Yandy Diaz,3B,8.42%,0
36,5180086570,claytankgunner (3/14),0,113.95,1B TJ Rumfield 2B Ozzie Albies 3B Kyle Karros C Carter Jensen OF Mickey Moniak OF Jake McCarthy OF Lane Thomas P Seth Lugo P Reynaldo Lopez SS Bobby Witt Jr.,,Ozzie Albies,2B,8.21%,23
38,5180061607,smurfythegreek,0,113.75,1B Matt Olson 2B Ozzie Albies 3B Sal Stewart C Jonah Heim OF Michael Harris II OF Esteury Ruiz OF Tommy Edman P Shane McClanahan P Taj Bradley SS Geraldo Perdomo,,Bobby Witt Jr.,SS,7.79%,3
39,5180075677,seth37iso (11/14),0,113.3,1B Yandy Diaz 2B Richie Palacios 3B Junior Caminero C Hunter Goodman OF Chandler Simpson OF Luke Keaschall OF Ryan Kreidler P Taj Bradley P Andrew Abbott SS Taylor Walls,,Drake Baldwin,C,6.95%,9
40,5180066051,ellisac1 (8/14),0,112.65,1B Nick Kurtz 2B Ketel Marte 3B Brooks Lee C Shea Langeliers OF Esteury Ruiz OF Trevor Larnach OF Colby Thomas P Taj Bradley P Tatsuya Imai SS Joshua Kuroda-Grauer,,Chandler Simpson,OF,6.74%,8
40,5180075667,seth37iso (1/14),0,112.65,1B Freddie Freeman 2B Brice Turang 3B Max Muncy C Chuckie Robinson OF Kyle Tucker OF Garrett Mitchell OF Victor Bericoto P Taj Bradley P Tatsuya Imai SS Geraldo Perdomo,,Colby Thomas,OF,6.74%,9
42,5180073680,dgkb (13/14),0,112.6,1B Kyle Stowers 2B Tommy Edman 3B Javier Sanoja C Hunter Goodman OF Casey Schmitt OF Cedric Mullins OF Shohei Ohtani P Taj Bradley P Shane Drohan SS Joshua Kuroda-Grauer,,Luis Arraez,2B,6.53%,0
43,5180089659,mcooper2300 (1/3),0,112.45,1B Yandy Diaz 2B Richie Palacios 3B Junior Caminero C Jonah Heim OF Chandler Simpson OF Cedric Mullins OF Shohei Ohtani P Max Meyer P Shane Drohan SS Joshua Kuroda-Grauer,,Jonah Heim,C,6.53%,23
44,5180077330,Swidb (9/14),0,112.1,1B Nick Kurtz 2B Tommy Edman 3B Max Muncy C Shea Langeliers OF Kyle Tucker OF Henry Bolte OF Lawrence Butler P Taj Bradley P Kyle Freeland SS Joshua Kuroda-Grauer,,Yordan Alvarez,OF,6.53%,11
45,5180066056,ellisac1 (13/14),0,111.95,1B Josh Bell 2B Joshua Kuroda-Grauer 3B Javier Sanoja C Ivan Herrera OF Corbin Carroll OF Heriberto Hernandez OF Esteury Ruiz P Max Meyer P Taj Bradley SS Otto Lopez,,Jake McCarthy,OF,6.32%,0
45,5180083979,tevincolemanfan (5/14),0,111.95,1B Rafael Devers 2B Christian Koss 3B Sal Stewart C Tyler Stephenson OF Jackson Chourio OF Spencer Steer OF Heliot Ramos P Max Meyer P Taj Bradley SS Bobby Witt Jr.,,Gabriel Moreno,C,6.11%,5
47,5180056982,137666 (2/3),0,111.45,1B Jonathan Aranda 2B Tommy Edman 3B Junior Caminero C Jonah Heim OF Chandler Simpson OF Victor Mesa Jr. OF Shohei Ohtani P Max Meyer P Shane Drohan SS Taylor Walls,,Liam Hicks,C,6.11%,8
48,5180065172,Emac (14/14),0,111.15,1B Rafael Devers 2B Luis Arraez 3B Junior Caminero C Hunter Goodman OF Mickey Moniak OF Jake McCarthy OF Heliot Ramos P Tatsuya Imai P Shane Drohan SS Christian Koss,,Kyle Stowers,OF,5.89%,0
49,5180077611,Darkmen715 (14/14),0,110.6,1B Jonathan Aranda 2B JJ Wetherholt 3B Javier Sanoja C Liam Hicks OF Heriberto Hernandez OF Esteury Ruiz OF Cedric Mullins P J.T. Ginn P Trevor McDonald SS Otto Lopez,,Hunter Feduccia,C,5.68%,0
50,5180086577,claytankgunner (10/14),0,110.35,1B Royce Lewis 2B Brice Turang 3B Max Muncy C William Contreras OF Andy Pages OF Jake Bauers OF Garrett Mitchell P Trevor McDonald P Reynaldo Lopez SS Mookie Betts,,Casey Schmitt,OF,5.68%,0
51,5180068028,ninefive (1/2),0,110.3,1B Josh Bell 2B Matt McLain 3B Junior Caminero C Hunter Goodman OF Jackson Chourio OF Heriberto Hernandez OF Cedric Mullins P Shane McClanahan P Tatsuya Imai SS Joshua Kuroda-Grauer,,Kyle Stowers,1B,5.68%,0
51,5180068031,ninefive (2/2),0,110.3,1B Josh Bell 2B Matt McLain 3B Junior Caminero C Hunter Goodman OF Jackson Chourio OF Heriberto Hernandez OF Cedric Mullins P Shane McClanahan P Tatsuya Imai SS Joshua Kuroda-Grauer,,Hunter Goodman,C,5.68%,16
53,5180075675,seth37iso (9/14),0,110.15,1B Freddie Freeman 2B Alex Freeland 3B Willi Castro C Chuckie Robinson OF Kyle Tucker OF Mickey Moniak OF Tommy Edman P Taj Bradley P Michael McGreevy SS Ezequiel Tovar,,Tommy Edman,OF,5.68%,2
54,5180078253,Wanna_Square_Up1567 (5/14),0,110,1B TJ Rumfield 2B Kody Clemens 3B Brooks Lee C Hunter Goodman OF Jackson Chourio OF Mickey Moniak OF Jake McCarthy P Zac Gallen P Kyle Freeland SS Ezequiel Tovar,,Andrew Abbott,P,5.47%,7.25
55,5180066048,ellisac1 (5/14),0,109.95,1B Nick Kurtz 2B Ketel Marte 3B Sal Stewart C Ivan Herrera OF Esteury Ruiz OF Lawrence Butler OF Colby Thomas P Max Meyer P Taj Bradley SS Joshua Kuroda-Grauer,,Henry Bolte,OF,5.47%,8
