date,gid,bout,fighter,key,salary,sched,source,p_win,p_finish,p_r1,proj,sd,floor,median,ceil,own,own_cash,dk_fppf,off,def_opp
2026-09-26,154126,Amaya vs Black,Tina Black,,8400,3,salary,0.6775,0.2314,0.1025,70.2,36.53,40.3,73.0,114.6,35.7,31.9,,1.0,1.0
2026-09-26,154126,Amaya vs Black,Melissa Amaya,,6000,3,salary,0.3225,0.1102,0.0488,44.53,35.08,17.3,32.3,100.1,29.1,25.6,,1.0,1.0
2026-09-26,154126,Osmanli vs Akylbek,Mahammadali Osmanli,,9000,3,moneyline+method,0.7517,0.4117,0.2046,77.94,38.3,51.2,86.4,120.7,40.7,43.4,,1.0,1.0
2026-09-26,154126,Osmanli vs Akylbek,Ilimbek Akylbek,,5400,3,moneyline+method,0.2483,0.1356,0.0647,37.51,35.56,10.5,24.0,99.0,26.1,24.1,,1.0,1.0
2026-09-26,154126,Hernandez vs Dumas,Luis Hernandez,,8600,3,method,0.6705,0.5633,0.329,76.58,44.11,31.1,94.7,122.9,55.8,60.6,,1.0,1.117
2026-09-26,154126,Hernandez vs Dumas,Sedriques Dumas,sedriquesdumas,5800,3,method,0.3295,0.2344,0.142,40.11,42.42,6.1,17.7,107.8,14.2,8.6,28.7,0.871,1.0
2026-09-26,154126,Dumont vs Perez,Ailin Perez,ailinperez,7400,3,moneyline+method,0.6049,0.1141,0.0494,70.04,39.12,37.3,70.3,121.0,80.5,92.2,90.5,1.246,0.973
2026-09-26,154126,Dumont vs Perez,Norma Dumont,normadumont,7000,3,moneyline+method,0.3951,0.1228,0.0526,49.22,34.44,21.2,38.7,101.2,8.4,2.7,66.9,0.947,0.963
2026-09-26,154126,Rosas Jr. vs Barcelos,Raul Rosas Jr.,raulrosas,8200,5,moneyline+method,0.5713,0.262,0.0898,84.54,50.51,43.4,87.8,145.8,60.8,72.0,97.4,1.215,0.948
2026-09-26,154126,Rosas Jr. vs Barcelos,Raoni Barcelos,raonibarcelos,6400,5,moneyline+method,0.4287,0.1916,0.0679,63.39,44.78,25.2,56.6,121.9,35.4,26.8,76.8,1.095,0.822
