mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,MacKenzie Gore,TEX,8500,16.4,16.4,24.9,P,6157198,P-prop
cash,P,Shane Drohan,MIL,7200,15.1,15.1,44.7,P,6158788,P-prop
cash,C,Iván Herrera,STL,3900,9.7,10.9,10.8,C,825059,H-slot2
cash,1B,Alec Burleson,STL,3900,9.3,11.0,8.5,1B,825059,H-slot3
cash,2B,JJ Wetherholt,STL,4400,9.6,11.1,12.5,2B,825059,H-slot1
cash,3B,Junior Caminero,TB,6200,9.2,12.3,4.3,3B,824738,H-slot3
cash,SS,Geraldo Perdomo,ARI,3800,9.0,9.7,13.7,SS,825059,H-slot2
cash,OF,Joc Pederson,TEX,3000,8.1,10.4,14.7,OF,824899,H-slot1
cash,OF,Esmerlyn Valdez,PIT,3700,9.1,13.2,6.3,OF,824414,H-slot4
cash,OF,Corbin Carroll,ARI,5000,10.1,11.5,6.9,OF,825059,H-slot3
gpp,P,Dustin May,STL,7900,12.4,12.4,5.9,P,6156977,P-prop
gpp,P,Brandon Pfaadt,ARI,6300,11.2,11.2,14.0,P,6156977,P-prop
gpp,C,Samuel Basallo,BAL,4100,7.3,9.5,4.2,C,824169,H-slot5*PROJ
gpp,1B,Pete Alonso,BAL,5900,8.6,10.8,3.2,1B,824169,H-slot4*PROJ
gpp,2B,Brandon Lowe,PIT,6000,7.6,10.0,3.6,2B,824414,H-slot2
gpp,3B,Nick Gonzales,PIT,4200,5.7,6.1,2.4,3B,824414,H-slot6
gpp,SS,Jeremy Peña,HOU,4500,8.0,9.2,7.9,SS,824169,H-slot1
gpp,OF,Taylor Ward,BAL,4800,8.0,8.6,4.7,OF,824169,H-slot3*PROJ
gpp,OF,Dylan Beavers,BAL,3100,6.9,7.4,7.4,OF,824169,H-slot6*PROJ
gpp,OF,Colton Cowser,BAL,2900,7.1,8.4,7.7,OF,824169,H-slot7*PROJ
