mode,slot,player,team,salary,proj,ceiling,own
cash,P,Tatsuya Imai,HOU,7300,17.5,17.5,65.0
cash,P,Taj Bradley,MIN,8300,16.8,16.8,25.7
cash,C,Brian Navarreto,MIA,3000,9.0,9.0,21.0
cash,1B,Rafael Devers,SF,3500,9.5,11.3,14.5
cash,2B,Ketel Marte,AZ,4800,10.8,13.0,2.5
cash,3B,Javier Sanoja,MIA,3800,9.0,9.6,10.2
cash,SS,Geraldo Perdomo,AZ,3800,9.6,10.3,11.2
cash,OF,Esteury Ruiz,MIA,4100,10.3,12.2,10.4
cash,OF,Heriberto Hernández,MIA,4500,10.7,12.5,8.6
cash,OF,Shohei Ohtani,LAD,6600,11.9,14.2,1.7
gpp,P,Max Meyer,MIA,8800,16.4,16.4,15.6
gpp,P,Taj Bradley,MIN,8300,16.8,16.8,25.7
gpp,C,Liam Hicks,MIA,5400,9.0,11.0,1.2
gpp,1B,Rafael Devers,SF,3500,9.5,11.3,14.5
gpp,2B,Jose Altuve,HOU,3600,9.0,10.4,2.3
gpp,3B,Javier Sanoja,MIA,3800,9.0,9.6,10.2
gpp,SS,Ryan Kreidler,MIN,3000,7.1,8.9,11.7
gpp,OF,Esteury Ruiz,MIA,4100,10.3,12.2,10.4
gpp,OF,Heriberto Hernández,MIA,4500,10.7,12.5,8.6
gpp,OF,Mickey Moniak,COL,5000,10.2,13.3,3.9
