mode,slot,player,team,salary,proj,ceiling,own,pos,game,conf
cash,P,Zack Wheeler,PHI,11000,22.0,22.0,21.1,P,6157515,P-prop
cash,P,Tarik Skubal,DET,10400,24.1,24.1,59.3,P,6157515,P-prop
cash,C,Iván Herrera,STL,3900,7.6,8.7,3.5,C,823029,H-slot2
cash,1B,Michael Busch,CHC,4000,7.9,9.0,3.0,1B,824491,H-slot5
cash,2B,José Caballero,NYY,3700,8.2,9.6,3.9,2B/SS,822708,H-slot6
cash,3B,Joshua Kuroda-Grauer,ATH,2600,8.4,8.4,13.5,2B/3B,824574,H-slot2
cash,SS,Zach Neto,LAA,4900,9.8,11.9,8.0,SS,823681,H-slot1
cash,OF,Dylan Beavers,BAL,3000,7.9,8.5,9.6,OF,824814,H-slot3
cash,OF,Lane Thomas,KC,3400,8.1,9.2,7.4,OF,824814,H-slot4
cash,OF,Esteury Ruiz,MIA,3000,7.8,9.1,4.8,OF,823842,H-slot7
gpp,P,Payton Tolle,BOS,8700,15.1,15.1,4.6,P,6159220,P-prop
gpp,P,Ian Seymour,TB,8200,16.8,16.8,14.6,P,6157681,P-prop
gpp,C,Carson Kelly,CHC,3300,7.5,8.6,7.7,C,824491,H-slot4
gpp,1B,Michael Busch,CHC,4000,7.9,9.0,3.0,1B,824491,H-slot5
gpp,2B,Jazz Chisholm Jr.,NYY,4700,8.8,10.3,3.4,2B,822708,H-slot5
gpp,3B,Ryan McMahon,NYY,2200,6.3,7.9,7.6,3B,822708,H-slot7
gpp,SS,José Caballero,NYY,3700,8.2,9.6,3.9,2B/SS,822708,H-slot6
gpp,OF,Jasson Domínguez,NYY,3500,8.3,9.9,8.2,OF,822708,H-slot3
gpp,OF,Cody Bellinger,NYY,4900,8.4,9.6,3.3,OF,822708,H-slot4
gpp,OF,Pete Crow-Armstrong,CHC,6800,9.9,12.2,3.4,OF,824491,H-slot1
